"virus_strain","serum_strain","serum_id","source","titer","virusYear","serumYear","cluster","color"
"DENV1/BOLIVIA/FSB3363/2010","DENV1/NAURU/WESTERNPACIFICDELTA30/1974",3,"monovalent",20,2010,1974,"DENV1","#1f78b4"
"DENV1/BOLIVIA/FSB3363/2010","DENV1/NAURU/WESTERNPACIFICDELTA30/1974",13,"monovalent",17,2010,1974,"DENV1","#1f78b4"
"DENV1/BOLIVIA/FSB3363/2010","DENV1/NAURU/WESTERNPACIFICDELTA30/1974",15,"monovalent",12,2010,1974,"DENV1","#1f78b4"
"DENV1/BOLIVIA/FSB3363/2010","DENV1/NAURU/WESTERNPACIFICDELTA30/1974",19,"monovalent",10,2010,1974,"DENV1","#1f78b4"
"DENV1/BOLIVIA/FSB3363/2010","DENV1/NAURU/WESTERNPACIFICDELTA30/1974",38,"monovalent",13,2010,1974,"DENV1","#1f78b4"
"DENV1/BOLIVIA/FSB3363/2010","DENV2/TONGA/DELTA30/1974",13,"monovalent",43,2010,1974,"DENV1","#1f78b4"
"DENV1/CAMBODIA/BIDV1991/2003","DENV1/NAURU/WESTERNPACIFICDELTA30/1974",3,"monovalent",54,2003,1974,"DENV1","#1f78b4"
"DENV1/CAMBODIA/BIDV1991/2003","DENV1/NAURU/WESTERNPACIFICDELTA30/1974",13,"monovalent",66,2003,1974,"DENV1","#1f78b4"
"DENV1/CAMBODIA/BIDV1991/2003","DENV1/NAURU/WESTERNPACIFICDELTA30/1974",15,"monovalent",28,2003,1974,"DENV1","#1f78b4"
"DENV1/CAMBODIA/BIDV1991/2003","DENV1/NAURU/WESTERNPACIFICDELTA30/1974",19,"monovalent",16,2003,1974,"DENV1","#1f78b4"
"DENV1/CAMBODIA/BIDV1991/2003","DENV1/NAURU/WESTERNPACIFICDELTA30/1974",38,"monovalent",26,2003,1974,"DENV1","#1f78b4"
"DENV1/CAMBODIA/BIDV1991/2003","DENV1/NAURU/WESTERNPACIFICDELTA30/1974",43,"monovalent",15,2003,1974,"DENV1","#1f78b4"
"DENV1/CAMBODIA/BIDV1991/2003","DENV1/NAURU/WESTERNPACIFICDELTA30/1974",44,"monovalent",23,2003,1974,"DENV1","#1f78b4"
