V1,V2,V3,V4,V5,name,antigen,antiserum,year,cluster,color
0.38329882,-2.646258608,-3.122642939,-1.913066422,-1.520655508,A/HongKong/1/1968,FALSE,TRUE,1968,HK68,purple
-1.247980826,-3.137606491,-2.751118354,-1.691986858,-0.460388452,A/Bilthoven/15793/1968,TRUE,FALSE,1968,HK68,purple
-0.962812486,-2.485079607,-2.72310396,-0.557050188,-1.83858056,A/Bilthoven/16190/1968,TRUE,FALSE,1968,HK68,purple
0.065391217,-2.254354579,-2.721963685,-1.704821189,-1.372780477,A/Bilthoven/16398/1968,TRUE,FALSE,1968,HK68,purple
0.508869169,-3.208396606,-3.171272226,-2.551043314,-2.088510594,A/HongKong/1/1968,TRUE,FALSE,1968,HK68,purple
-0.77194657,-3.110421601,-2.823371425,-1.894153055,-1.983262697,A/Bilthoven/17938/1969,TRUE,FALSE,1969,HK68,purple
0.016484109,-2.307801452,-2.742241735,-0.592948253,0.412072541,A/Bilthoven/808/1969,TRUE,FALSE,1969,HK68,purple
0.388838197,-2.990880118,-3.263424395,-1.955055668,-1.513398544,A/Bilthoven/908/1969,TRUE,FALSE,1969,HK68,purple
-1.229116373,-3.859392215,-2.460719228,-2.196762742,-1.81487998,A/Bilthoven/2668/1970,TRUE,FALSE,1970,HK68,purple
0.292604132,-2.718762202,-3.314279272,-2.084075095,-1.706076823,A/Bilthoven/93/1970,TRUE,FALSE,1970,HK68,purple
0.286972337,-2.599592461,-3.028425575,-2.715637147,-5.069365245,A/HongKong/107/1971,FALSE,TRUE,1971,HK68,purple
0.18446162,-2.076821016,-3.066192381,-2.0796006,-1.710468729,A/Bilthoven/21438/1971,TRUE,FALSE,1971,HK68,purple
0.068797659,-2.115368171,-2.958951689,-1.765023324,-1.683088837,A/Bilthoven/21801/1971,TRUE,FALSE,1971,HK68,purple
-1.58976355,-3.315313026,-2.031061109,-3.782168162,-1.577755018,A/Bilthoven/6449/1971,TRUE,FALSE,1971,HK68,purple
-0.316015811,-0.826654039,-2.172805767,-2.082566114,-3.691721575,A/HongKong/107/1971,TRUE,FALSE,1971,HK68,purple
-1.137237158,-0.600300672,-1.610889609,-0.693955379,-1.06716256,A/Bilthoven/21793/1972,FALSE,TRUE,1972,EN72,darkturquoise
0.365614069,-0.802676811,-1.64876066,-2.355529774,-0.235201331,A/England/42/1972,FALSE,TRUE,1972,EN72,darkturquoise
-1.188101315,0.047802457,-1.610073548,-0.980922994,-1.500296388,A/Bilthoven/21793/1972,TRUE,FALSE,1972,EN72,darkturquoise
-0.443316491,0.433045859,-2.657845319,0.201305714,-1.342240385,A/Bilthoven/23290/1972,TRUE,FALSE,1972,EN72,darkturquoise
-2.008786302,0.397174819,-2.075082615,-1.572818301,-1.260930249,A/Bilthoven/23337/1972,TRUE,FALSE,1972,EN72,darkturquoise
0.041156245,-1.038483503,-2.805480218,-1.852772606,-2.159177871,A/Bilthoven/6022/1972,TRUE,FALSE,1972,HK68,purple
-0.435673321,0.079502204,-1.275949054,-2.479177935,-0.483005052,A/England/42/1972,TRUE,FALSE,1972,EN72,darkturquoise
-1.181861001,0.697113401,-0.768227888,-0.496278094,-0.750748041,A/PortChalmers/1/1973,FALSE,TRUE,1973,EN72,darkturquoise
-1.144343709,0.079209127,-1.35870772,-1.460337741,-1.977007524,A/Bilthoven/3517/1973,TRUE,FALSE,1973,EN72,darkturquoise
-0.283545431,0.373872677,-2.000397266,-0.137956849,-1.494560447,A/Bilthoven/552/1973,TRUE,FALSE,1973,EN72,darkturquoise
-1.695935755,0.404578801,-1.136594509,-0.93296619,-2.084031181,A/Bilthoven/748/1973,TRUE,FALSE,1973,EN72,darkturquoise
-1.262328199,1.450657222,-1.673503685,-0.94914799,0.351718874,A/PortChalmers/1/1973,TRUE,FALSE,1973,EN72,darkturquoise
-1.189714008,0.178154857,-0.86562734,0.30673853,-0.587459979,A/Bilthoven/5930/1974,FALSE,TRUE,1974,EN72,darkturquoise
-1.702690026,1.627765909,-0.947100142,-2.146880986,-1.889095372,A/Bilthoven/5146/1974,TRUE,FALSE,1974,EN72,darkturquoise
-2.040242925,0.162435693,-1.269897759,-0.497001612,-1.735693613,A/Bilthoven/5930/1974,TRUE,FALSE,1974,EN72,darkturquoise
-3.182728499,0.21914643,0.001020019,-1.078808572,0.126604053,A/Bilthoven/5931/1974,TRUE,FALSE,1974,EN72,darkturquoise
-2.17123047,1.157275475,-0.437498165,-1.161615582,-1.6698103,A/Bilthoven/7398/1974,TRUE,FALSE,1974,EN72,darkturquoise
-1.485823959,0.566118171,-1.470540064,-0.153728715,-1.479442612,A/Bilthoven/9459/1974,TRUE,FALSE,1974,EN72,darkturquoise
-1.055816962,0.410090524,-0.063524552,0.160508183,2.390000862,A/Victoria/3/1975,FALSE,TRUE,1975,VI75,darkgoldenrod1
-2.675875443,0.441507942,-0.564340463,-0.141395198,-1.34168908,A/Bilthoven/1843/1975,TRUE,FALSE,1975,EN72,darkturquoise
-0.141706759,1.838096431,-1.422141735,-1.493533192,-1.908571727,A/Bilthoven/2600/1975,TRUE,FALSE,1975,EN72,darkturquoise
-1.886996871,0.266983248,-1.448161765,-0.0210053,-2.235431616,A/Bilthoven/2813/1975,TRUE,FALSE,1975,EN72,darkturquoise
-2.889419032,1.150637505,0.104505755,-1.268815283,-0.78676804,A/Bilthoven/334/1975,TRUE,FALSE,1975,EN72,darkturquoise
-0.01005181,2.296821426,-1.432671084,-1.821374293,-1.898085465,A/Bilthoven/4273/1975,TRUE,FALSE,1975,EN72,darkturquoise
-0.926870834,0.863969283,-0.404518653,0.116296974,1.2311056,A/Victoria/3/1975,TRUE,FALSE,1975,VI75,darkgoldenrod1
-0.105085287,0.906482473,0.736058029,-0.217743344,2.139271271,A/Bilthoven/1761/1976,TRUE,FALSE,1976,VI75,darkgoldenrod1
1.02265128,1.614181217,0.5599344,2.431171332,0.842249698,A/Bilthoven/2271/1976,TRUE,FALSE,1976,TX77,brown
-0.335177396,0.335601644,1.074310713,0.215842327,2.931011784,A/Bilthoven/5029/1976,TRUE,FALSE,1976,VI75,darkgoldenrod1
-2.099110408,0.758913147,0.326182428,0.165605073,1.58813133,A/Bilthoven/5168/1976,TRUE,FALSE,1976,VI75,darkgoldenrod1
-0.273336996,0.584177339,1.060669562,0.168615826,2.351577619,A/Bilthoven/5657/1976,TRUE,FALSE,1976,VI75,darkgoldenrod1
-0.139166385,0.555901722,0.785354744,0.068941675,2.495061443,A/Bilthoven/6545/1976,TRUE,FALSE,1976,VI75,darkgoldenrod1
0.213319444,0.69653921,1.431955369,0.599187212,3.438907615,A/Amsterdam/1609/1977,FALSE,TRUE,1977,VI75,darkgoldenrod1
2.038755199,1.196348477,-0.949771992,5.386183489,1.164689561,A/Texas/1/1977,FALSE,TRUE,1977,TX77,brown
-0.673784804,0.513836534,0.284343702,0.191445278,2.225924967,A/Amsterdam/1609/1977,TRUE,FALSE,1977,VI75,darkgoldenrod1
0.055776264,0.883826068,0.577751343,0.229337489,2.132554299,A/Bilthoven/3895/1977,TRUE,FALSE,1977,VI75,darkgoldenrod1
-0.284767965,-0.057090947,0.339878685,-0.69516962,1.454808667,A/Rotterdam/5828/1977,TRUE,FALSE,1977,VI75,darkgoldenrod1
0.005599009,0.479710074,0.520574022,0.084153586,1.906909179,A/Rotterdam/8179/1977,TRUE,FALSE,1977,VI75,darkgoldenrod1
-0.696785403,1.517721156,0.392861802,3.864682483,1.576446244,A/Texas/1/1977,TRUE,FALSE,1977,TX77,brown
1.841257101,2.60506028,0.490129907,6.011155131,1.913795361,A/Bangkok/1/1979,FALSE,TRUE,1979,BK79,green
