Mapped,Total,Validation_Completeness,Algorithm,Dataset,Fold
285,285,1,Topolow,H3N2,1
285,285,0.983122363,MDS,H3N2,1
285,285,1,Topolow,H3N2,2
285,285,0.984790875,MDS,H3N2,2
285,285,1,Topolow,H3N2,3
285,285,0.976923077,MDS,H3N2,3
285,285,1,Topolow,H3N2,4
285,285,0.95951417,MDS,H3N2,4
285,285,1,Topolow,H3N2,5
285,285,0.983805668,MDS,H3N2,5
285,285,1,Topolow,H3N2,6
285,285,0.964157706,MDS,H3N2,6
285,285,1,Topolow,H3N2,7
285,285,0.984189723,MDS,H3N2,7
285,285,1,Topolow,H3N2,8
285,285,0.967871486,MDS,H3N2,8
285,285,1,Topolow,H3N2,9
285,285,0.961389961,MDS,H3N2,9
285,285,1,Topolow,H3N2,10
285,285,0.992424242,MDS,H3N2,10
285,285,1,Topolow,H3N2,11
285,285,0.982832618,MDS,H3N2,11
285,285,1,Topolow,H3N2,12
285,285,0.983193277,MDS,H3N2,12
285,285,1,Topolow,H3N2,13
285,285,0.963369963,MDS,H3N2,13
285,285,1,Topolow,H3N2,14
285,285,0.949790795,MDS,H3N2,14
285,285,1,Topolow,H3N2,15
285,285,0.991967871,MDS,H3N2,15
285,285,1,Topolow,H3N2,16
285,285,1,MDS,H3N2,16
285,285,1,Topolow,H3N2,17
285,285,0.975206612,MDS,H3N2,17
285,285,1,Topolow,H3N2,18
285,285,0.974137931,MDS,H3N2,18
285,285,1,Topolow,H3N2,19
285,285,0.97260274,MDS,H3N2,19
285,285,1,Topolow,H3N2,20
285,285,0.989247312,MDS,H3N2,20
335,335,1,Topolow,HIV,1
335,335,1,MDS,HIV,1
335,335,1,Topolow,HIV,2
335,335,1,MDS,HIV,2
335,335,1,Topolow,HIV,3
335,335,1,MDS,HIV,3
335,335,1,Topolow,HIV,4
335,335,1,MDS,HIV,4
335,335,1,Topolow,HIV,5
335,335,1,MDS,HIV,5
335,335,1,Topolow,HIV,6
335,335,0.983193277,MDS,HIV,6
335,335,1,Topolow,HIV,7
335,335,1,MDS,HIV,7
335,335,1,Topolow,HIV,8
335,335,0.991304348,MDS,HIV,8
335,335,1,Topolow,HIV,9
335,335,1,MDS,HIV,9
335,335,1,Topolow,HIV,10
335,335,1,MDS,HIV,10
335,335,1,Topolow,HIV,11
335,335,0.981042654,MDS,HIV,11
335,335,1,Topolow,HIV,12
335,335,0.980769231,MDS,HIV,12
335,335,1,Topolow,HIV,13
335,335,0.981900452,MDS,HIV,13
335,335,1,Topolow,HIV,14
335,335,0.991304348,MDS,HIV,14
335,335,1,Topolow,HIV,15
335,335,1,MDS,HIV,15
335,335,1,Topolow,HIV,16
335,335,0.991561181,MDS,HIV,16
335,335,1,Topolow,HIV,17
335,335,1,MDS,HIV,17
335,335,1,Topolow,HIV,18
335,335,1,MDS,HIV,18
335,335,1,Topolow,HIV,19
335,335,1,MDS,HIV,19
335,335,1,Topolow,HIV,20
335,335,1,MDS,HIV,20
83,83,1,Topolow,DENV,1
83,83,0.973333333,MDS,DENV,1
83,83,1,Topolow,DENV,2
83,83,0.973333333,MDS,DENV,2
83,83,1,Topolow,DENV,3
83,83,1,MDS,DENV,3
83,83,1,Topolow,DENV,4
83,83,0.974025974,MDS,DENV,4
83,83,1,Topolow,DENV,5
83,83,1,MDS,DENV,5
83,83,1,Topolow,DENV,6
83,83,1,MDS,DENV,6
83,83,1,Topolow,DENV,7
83,83,0.973333333,MDS,DENV,7
83,83,1,Topolow,DENV,8
83,83,1,MDS,DENV,8
83,83,1,Topolow,DENV,9
83,83,0.97260274,MDS,DENV,9
83,83,1,Topolow,DENV,10
83,83,1,MDS,DENV,10
83,83,1,Topolow,DENV,11
83,83,1,MDS,DENV,11
83,83,1,Topolow,DENV,12
83,83,0.946666667,MDS,DENV,12
83,83,1,Topolow,DENV,13
83,83,1,MDS,DENV,13
83,83,1,Topolow,DENV,14
83,83,1,MDS,DENV,14
83,83,1,Topolow,DENV,15
83,83,1,MDS,DENV,15
83,83,1,Topolow,DENV,16
83,83,1,MDS,DENV,16
83,83,1,Topolow,DENV,17
83,83,1,MDS,DENV,17
83,83,1,Topolow,DENV,18
83,83,1,MDS,DENV,18
83,83,1,Topolow,DENV,19
83,83,1,MDS,DENV,19
83,83,1,Topolow,DENV,20
83,83,1,MDS,DENV,20
