"type","name","","","",""
"antigen","A/Bilthoven/15793/1968","1.99937080690898","-6.29063738696477","-6.45819290915925","-5.84292885672404"
"antigen","A/Bilthoven/16190/1968","1.93297902062763","-4.43373780647692","-6.74757884878312","-6.97872672031188"
"antigen","A/Bilthoven/16398/1968","3.41496085149331","-5.07008281333683","-5.93762246895255","-6.59378690812324"
"antigen","A/HongKong/1/1968","4.30803830294643","-6.32351846594922","-6.13291061778358","-7.30976465739062"
"antigen","A/Bilthoven/17938/1969","2.93979851656567","-5.2751753413635","-6.90102065551183","-7.309268930332"
"antigen","A/Bilthoven/808/1969","1.62343444482187","-5.06741257517071","-4.05452088225464","-6.2480142339617"
"antigen","A/Bilthoven/908/1969","3.50057266436352","-5.62196025570331","-5.82025008918254","-7.27904310344039"
"antigen","A/Bilthoven/2668/1970","2.10533141537902","-6.00161451740496","-7.16757398320398","-7.28638710978418"
"antigen","A/Bilthoven/93/1970","NaN","NaN","NaN","NaN"
"antigen","A/Bilthoven/21438/1971","3.74933799741952","-4.87218595672897","-5.88212521554631","-6.82073921889351"
"antigen","A/Bilthoven/21801/1971","3.65862661466972","-4.82060850584188","-5.93866776400912","-6.81064623322314"
"antigen","A/Bilthoven/6449/1971","NaN","NaN","NaN","NaN"
"antigen","A/HongKong/107/1971","5.26196287872022","-3.54259401103561","-6.7012993542991","-6.55154360927473"
"antigen","A/Bilthoven/21793/1972","2.27699105217418","-2.66388670040943","-6.47377742695582","-4.82881558566751"
"antigen","A/Bilthoven/23290/1972","1.6190389423583","-2.1034183317003","-5.85325330549936","-5.97161248471926"
"antigen","A/Bilthoven/23337/1972","2.27888909677092","-2.69427965899829","-7.12291794664775","-4.58061478141397"
"antigen","A/Bilthoven/6022/1972","3.83323656253658","-3.76079430203834","-5.88505554838357","-6.47962602025945"
"antigen","A/England/42/1972","3.43563187022414","-3.79916869937259","-5.61678795960559","-3.7721127467127"
"antigen","A/Bilthoven/3517/1973","2.75560104370945","-2.89605189568194","-6.81667397360141","-4.62195799443335"
"antigen","A/Bilthoven/552/1973","2.04986666958222","-2.26987513038414","-5.11189045370757","-5.54288370483144"
"antigen","A/Bilthoven/748/1973","2.18764910173183","-2.3496448365021","-7.08028749894008","-4.48320049025799"
"antigen","A/PortChalmers/1/1973","1.13322826122716","-2.43306258838586","-6.03132890258411","-3.48881693450311"
"antigen","A/Bilthoven/5146/1974","3.25274284992731","-1.6630875294369","-6.93899728873772","-3.62219892701502"
