"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"V/DENV2/PAPUANEWGUINEA/NEWGUINEAC/1944",2.91464551154773,2.46257671698796,1.63443607136137,4.25302549197102,2.95119346390176,3.52821556027856,2.70298165911174,2.18168537379794,2.19913538332718,3.60351762166789
"S/DENV3/PUERTO_RICO/S228762/1963",3.40738826105893,2.14876116733179,2.73498801739582,2.53767646307967,2.26603615865313,3.00291484382592,2.29610119713863,3.69717318102366,3.50627168393826,3.42423471249131
"V/DENV3/PUERTO_RICO/S228762/1963",2.7562753383973,2.26882219546149,2.86045907690071,2.74442548617004,2.24421815658282,2.99629877173671,1.65444717235339,3.96404440431971,3.16913343970645,4.16015378948775
"V/DENV1/THAILAND/16007/1964",4.83646820324623,2.85533712269224,2.621363802412,3.2939245212967,2.58309858160149,1.91267251667667,2.72265099729582,4.25672712128501,3.04184733689064,1.86374109033694
"S/DENV2/SENEGAL/0674/1970",3.46577742601543,1.88340302738918,2.90333019578509,2.68724450485297,2.8464393131984,3.49585335828941,2.49552861721587,2.84202455053397,3.67040556389434,2.68950852834759
"V/DENV2/SENEGAL/0674/1970",3.56827208095619,2.01477976261871,2.69768852311273,2.30476508123636,2.40915792436845,3.28762168468997,2.62721104731267,3.39146252306745,3.80491954446518,3.27935333769336
"S/DENV4/INDONESIA/AC36/1973",2.7776803836381,3.236969121128,2.65825328890345,3.1262321531554,2.70915228664458,3.13916987230859,1.55062269255897,2.03592641988653,2.60326042918351,2.39360727833275
"S/DENV4/MALAYSIA/P731120/1973",3.54762145578697,2.71819266973392,2.84392489749461,2.58561692413077,3.27049448073263,3.32629300768778,2.29594937388403,3.6466055896284,3.73637298804034,2.94105164679862
"V/DENV4/INDONESIA/AC36/1973",3.10590560436043,2.83402281798453,2.75350191335626,2.13081107678988,3.35842385259742,3.12588344839856,1.10351484360615,2.79170962992682,3.69746955615769,2.93333649806816
"V/DENV4/MALAYSIA/P731120/1973",3.24036860487244,3.40273799052596,2.60723264011147,2.189440078006,3.0338762987929,3.8805414286746,1.69457430631101,3.63617288827253,3.96435822447564,2.56803802046233
"S/DENV1/NAURU/WESTERNPACIFICDELTA30/1974",2.11929806176271,1.53897937339153,4.22141924538173,3.03814501532063,2.24565386897765,-0.253403361988986,3.51056500564186,3.11182248932196,2.55471843563136,0.433791226996829
"S/DENV2/TONGA/DELTA30/1974",2.42501161911856,0.536786842865867,4.01312487247481,2.53697751545898,3.12086048074104,0.528393396494566,4.92755212319733,2.30122463790006,3.50354554262077,1.92098481721294
"V/DENV1/NAURU/WESTERNPACIFICDELTA30/1974",4.34402082608425,4.13968962537501,2.25141311517605,2.80659775832481,1.10849343237174,2.72566907986191,3.38411003803743,2.69638613471759,2.96649749510546,2.52044950509769
"V/DENV2/INDIA/742295/1974",3.56478604298579,2.11285138737123,1.35896088042711,1.82871378196089,3.58466824535258,3.5042178190726,2.53382003451799,3.46737488805528,2.82296810622126,3.45851365578809
"V/DENV2/TONGA/DELTA30/1974",3.43004692561352,2.13958513075335,2.21414291102757,2.04420972213487,3.36648736283622,3.26546454981761,2.74630878592331,2.39446821738235,3.56795383654318,3.20103862490884
"S/DENV3/INDONESIA/SLEMANDELTA30/1978",2.5958940483441,2.35559307273436,3.45251712504864,3.67067138698813,3.02181775270516,1.29695676592617,2.61896681489848,3.64107088441884,2.5889249519346,3.4982806314846
"V/DENV3/INDONESIA/SLEMANDELTA30/1978",2.98315032554553,2.14212114674903,5.05106279605775,2.64604409508929,2.77100491437967,2.35120088254238,3.31040012957376,4.15255054953805,3.69501779322584,3.430567891986
"V/DENV4/INDONESIA/S1228/1978",2.41901310173767,2.88476514904585,2.83060968364152,2.10708017781258,2.39336682479529,2.27426463844459,0.810625420505385,2.51767308553227,2.83569803422157,2.85998802332664
"S/DENV4/DOMINICA/814669DELTA30/1981",1.39174004357994,1.6319698074102,2.91411979154986,2.71255690003726,3.75841148805445,1.16798505146066,1.24101622436362,2.58166598519774,4.15754937879421,0.97673921902456
"V/DENV4/DOMINICA/814669DELTA30/1981",3.11881190242052,2.35516412206091,2.72555128701372,1.98679363327827,3.26351934032055,3.36225214937237,1.90611299978686,2.73907196156782,3.68063668624521,3.17893614325137
"V/DENV4/THAILAND/D85052/1985",3.17353535305957,2.98859102048818,2.7773553579049,2.083193250207,3.37021851472297,2.97320312135354,1.20327478752282,2.93090228957172,3.9471408136419,2.56856773854288
