"","V1","V2","V3","V4","V5"
"S/A/HongKong/1/1968",-0.707050342576689,-3.30865287470841,-2.26178778756118,-1.51916231257366,-1.49367486548958
"V/A/Bilthoven/15793/1968",-1.72282690011402,-2.28301544389744,-2.65462467841249,-1.97929814927425,-0.319192527786324
"V/A/Bilthoven/16190/1968",-1.73702636517458,-2.21317253139463,-2.12058102030008,-2.29317223623099,-1.08043674514768
"V/A/Bilthoven/16398/1968",-0.797834497962475,-2.63193882907317,-2.1314617755506,-1.30793359330902,-1.42146328485338
"V/A/HongKong/1/1968",-0.908150509353093,-3.78569322307474,-3.07448576188712,-1.38753115203796,-2.05103974961668
"V/A/Bilthoven/17938/1969",-1.2473601091712,-2.77402932663617,-2.79911000121761,-2.41675889235329,-1.3697253062814
"V/A/Bilthoven/808/1969",-0.679351090468537,-2.25352952546386,-1.7665823307091,-0.637447554763918,0.46763586918821
"V/A/Bilthoven/908/1969",-0.68862349316343,-3.55176536432234,-2.46687554898712,-1.56540040751191,-1.4157640116843
"V/A/Bilthoven/2668/1970",-1.59369993579362,-2.74137610217768,-3.40208282452381,-2.49367871949317,-0.421331617919872
"V/A/Bilthoven/93/1970",-0.752633259260563,-3.32651021338563,-2.2925632199129,-1.73860855384733,-1.58009890723395
"S/A/HongKong/107/1971",-1.87738635717937,-4.21945748237306,-2.42901048473085,-2.71283653327588,-4.28186952245819
"V/A/Bilthoven/21438/1971",-0.755958457319361,-2.94333951890384,-1.97135041549238,-1.38620995988616,-1.85437347058158
"V/A/Bilthoven/21801/1971",-0.833358102945649,-2.80932135447317,-1.90312376069128,-1.44682176370171,-1.5612485919118
"V/A/Bilthoven/6449/1971",-2.6273549522263,-2.29914938137479,-3.73320807384632,-2.56560567622065,-1.57082027413062
"V/A/HongKong/107/1971",-1.65932164022845,-2.08597053163866,-1.32444356796192,-1.98390549031691,-3.64376494163176
"S/A/Bilthoven/21793/1972",-1.54150491643296,-0.446915932503918,-1.32694896405831,-1.07318195917948,-1.36839742926283
"S/A/England/42/1972",-0.577199064563659,-1.33455277835355,-2.20532556697296,0.484823765937375,-1.82935140995727
"V/A/Bilthoven/21793/1972",-1.65071268982717,-0.12686224092431,-0.939766142994475,-0.941980491990123,-2.01145061931205
"V/A/Bilthoven/23290/1972",-2.08945818334424,-0.918348923580046,0.495971829852771,-0.769946100860688,-1.2736520134685
"V/A/Bilthoven/23337/1972",-2.62984785141943,-0.293255996151119,-0.76136292649464,-0.665358729600071,-2.18574576360581
"V/A/Bilthoven/6022/1972",-1.00017568668001,-2.27573928885517,-1.13502276449333,-1.37099309765415,-2.16230444162476
"V/A/England/42/1972",-0.721130870816792,-0.296084365611122,-1.76832749719893,0.365503596597238,-2.32443092415288
"S/A/PortChalmers/1/1973",-1.30361787953689,0.82904264392738,-0.474010752093722,-0.540240724154871,-1.43743417518155
"V/A/Bilthoven/3517/1973",-1.64413058318191,-0.132899977319759,-1.25842848908933,-0.857284875318391,-2.72053742469205
"V/A/Bilthoven/552/1973",-1.32931224270637,-0.62774997426569,0.269662620638945,-0.972669809294817,-1.60551128431035
"V/A/Bilthoven/748/1973",-2.03791877621702,0.443195776075594,-0.854899571223759,-1.37629726133794,-2.43227831474867
"V/A/PortChalmers/1/1973",-1.13158990979741,1.53088331372153,-0.51988358797693,-0.413407259596943,-1.29972777959092
"S/A/Bilthoven/5930/1974",-1.30742168815241,0.369904841754636,-0.479063869090655,-0.799363771492781,-0.512379742968624
"S/A/Scotland/840/1974",-0.367260401317689,0.424187534315283,0.788664040305288,0.150920938741607,-3.16713335661441
"V/A/Bilthoven/5146/1974",-1.50342269235336,0.993228694393241,-0.670859599449183,-0.805181354812457,-3.61371696553578
"V/A/Bilthoven/5930/1974",-2.21354500240913,0.643754291838764,-0.824324485573295,-1.39839325511148,-1.68989759089644
"V/A/Bilthoven/5931/1974",-2.12953108927,2.33815189680056,-2.11262653047703,-0.244543423344957,-1.00757378902038
"V/A/Bilthoven/7398/1974",-1.72002166739838,1.64560006510797,-0.871099765631868,-0.99739598718849,-2.56499009445565
"V/A/Bilthoven/9459/1974",-1.98431350791451,0.582846535067199,-0.138182296704577,-1.16346506831505,-1.58895096631325
"S/A/Victoria/3/1975",-0.96049531069884,1.71974505671753,-0.85645757700577,1.29917562805862,1.09996705983195
"V/A/Bilthoven/1843/1975",-1.97421089186094,1.68666558267804,-0.9510006763334,-1.79798746986123,-1.3501254492953
"V/A/Bilthoven/2600/1975",-0.689333266387038,0.146567968406314,0.448085088834067,-0.54513780629305,-3.19384718164352
"V/A/Bilthoven/2813/1975",-2.46491065669724,0.501676648423911,-0.337596653441753,-1.83501717871843,-1.67091659724978
"V/A/Bilthoven/334/1975",-1.86064302166675,2.56331568179247,-1.48968095991894,-0.375424273068459,-2.13551184607351
"V/A/Bilthoven/4273/1975",-0.589438212472125,0.269722121379351,0.650805130331734,-0.24405363866499,-3.59762992919397
"V/A/Victoria/3/1975",-1.02212162352624,1.56797156316643,-0.213370739056567,0.668026077698854,0.111013630475825
"V/A/Bilthoven/1761/1976",0.26678009862324,1.89319397395911,-0.721512578998731,1.40125531544006,0.566965651133775
"V/A/Bilthoven/2271/1976",0.740305805813283,1.09349913976447,2.11596597366665,0.623898804954408,1.31731566612006
"V/A/Bilthoven/5029/1976",0.0498058902078135,2.05402539690651,-1.10454916630552,1.68009714809121,1.61326270035032
"V/A/Bilthoven/5168/1976",-1.40019075199752,2.56436877673429,-1.03049642445471,0.699867738795351,0.360279766879559
"V/A/Bilthoven/5657/1976",0.236587699897176,2.09529309678012,-0.707212755040764,1.30616926680162,1.06859015482951
"V/A/Bilthoven/6545/1976",0.252375318297624,1.83875841168093,-0.883602204174458,1.22833375120895,1.18285448413989
"S/A/Amsterdam/1609/1977",0.97459098983919,2.10735940010958,-0.807714510736067,1.87133850092795,2.19944764999496
"S/A/Texas/1/1977",-0.396097632886581,0.746755148255511,4.5887201758399,-0.155188031236869,3.33801404030155
"V/A/Amsterdam/1609/1977",-0.31008935216415,1.52494366291853,-0.966110238830656,1.13238586825047,1.12754209074874
"V/A/Bilthoven/3895/1977",0.303811494906322,1.53508867813669,-0.339714093219512,1.49313334282014,0.809451599822034
"V/A/Rotterdam/5828/1977",0.203546043336183,1.25334138142852,-1.30061195841044,0.237147852661172,0.214408773891544
"V/A/Rotterdam/8179/1977",0.289485864713776,1.33252139349421,-0.645082032250734,1.06485800019346,0.820898129897153
"V/A/Texas/1/1977",0.215160896046917,1.17176487476815,1.31963603407276,-0.00135786544837607,3.4451898099986
"S/A/Bilthoven/2461/1978",1.37407889578428,0.394783008741272,3.07357258619342,0.1530705380336,4.59103160125773
"S/A/Bangkok/1/1979",1.08238552141271,0.892129006314908,4.7222978750292,0.664308841137666,4.33796623233907
"S/A/Bangkok/2/1979",1.54100737181534,1.34677382260565,3.28976082223274,1.59925001191983,3.79797114161911
"V/A/Bangkok/1/1979",1.87903662990648,1.65076123394137,3.07333141735774,-0.360190920981834,5.2588535448331
"S/A/England/496/1980",1.11953100334266,0.887645199889438,4.56812940672343,0.975381482569151,4.39768084171439
"S/A/Netherlands/209/1980",0.978165900937639,0.418787839272556,1.66544226698579,0.323434137044722,5.31574692757579
"S/A/Rotterdam/577/1980",1.2261629198115,-0.0017964921276524,3.15678590940689,-0.367736607320073,5.77452432823073
"V/A/Netherlands/209/1980",1.61383495658647,1.17424390453163,2.26572276991038,0.910466394896614,4.04190513681977
"V/A/Rotterdam/577/1980",1.5110739858213,1.13748789766182,2.17825353949385,0.948910002526498,4.14922170141509
"V/A/Bilthoven/4791/1981",2.02483359761673,1.71569249720846,3.96471838461538,1.69712056082517,3.58948713157828
"V/A/Lyon/2380/1981",1.61978875320049,1.3555974071387,3.97795159350023,1.44571872545617,3.73594225578515
"S/A/Netherlands/233/1982",0.970467304544486,0.528001196526875,1.95351214372835,0.32051090579984,4.73648024488818
"S/A/Netherlands/241/1982",1.58602152053078,1.11306439913092,1.84403757722605,0.776876299685059,4.36723205244669
"S/A/Philipdarkgreens/2/1982",1.02083366983173,-0.169745944875091,3.47919731141521,1.51960364443511,4.5543486312044
"V/A/Auckland/4382/1982",1.28349923692054,1.11920645426463,3.95287627630415,1.25159190443279,3.80828668406516
"V/A/Bilthoven/10684/1982",1.78585468302172,1.47631951065483,4.27112473320096,1.62742451724007,3.84315636923026
"V/A/Netherlands/241/1982",1.69147300828137,1.11651072610498,1.98252521927549,1.37712720059292,4.4210930603049
"V/A/Philipdarkgreens/2/1982",2.35862540850983,1.18187849363153,2.12548320856144,-0.0226421918648172,5.10517707059528
"V/A/Oslo/13676/1983",1.70475111400138,1.26573938126213,4.09280209513128,1.5455247745341,3.83361182500958
"S/A/Caen/1/1984",3.14413148664516,3.16285221907326,3.25383972296446,0.497641686754024,3.55534803552759
"V/A/Caen/1/1984",3.21656095946629,3.35721502154277,2.13622679212232,0.428736418119113,3.79227006003979
"S/A/Christchurch/4/1985",2.12003924022285,1.48223164315446,2.22783505915947,1.41688436044056,4.12629982528721
"S/A/Netherlands/330/1985",2.98527125156303,1.95180314112157,2.30688756348325,1.81915309955692,3.38676637738015
"S/A/Netherlands/333/1985",2.80886143473925,2.5325890935229,2.16463800450692,0.896753891254123,4.01139185353029
"S/A/Stockholm/10/1985",3.0724797116311,2.66638325314659,2.6030825438909,2.79217171754959,3.64262049441168
"S/A/Wellington/4/1985",3.09926819829452,2.42322181633365,3.09360718963597,2.84127385502942,3.21393766890893
"V/A/Guildford/V728/1985",4.10168896334918,1.74020972011489,1.59432176899567,2.51605134389784,3.60356510662541
"V/A/Netherlands/330/1985",2.7608497631001,1.30205265641401,1.74115490336747,1.8655664228965,3.85637622097135
"V/A/Netherlands/333/1985",3.08775874150574,3.50620079846758,2.55112814217878,1.14872674921352,3.28650429884442
"V/A/Stockholm/10/1985",2.80794271249099,2.22406333221702,2.26725231043936,2.0190453345073,3.90578854023979
"V/A/Wellington/4/1985",3.47649879912956,2.30414426981396,2.26902251873722,2.41001973995079,4.12084762015792
"S/A/Colorado/2/1986",2.58669096152187,2.81375588905172,2.73062746346821,3.08206544965229,3.56026171234223
"S/A/Leningrad/360/1986",2.82388617574933,1.71730271317622,1.92503794640019,2.45979752765193,3.85000429066771
"V/A/Colorado/2/1986",2.71522443791375,2.06466972153608,2.02768790881393,2.41470558226366,4.01412030638764
"V/A/Leningrad/360/1986",4.51588131181176,1.49346822731426,1.33094681258584,1.60751121045462,5.11115601394989
"S/A/Shanghai/11/1987",5.26790001007277,1.63621654206919,4.16912758901068,3.87830541155081,2.44643093703593
"S/A/Sichuan/2/1987",5.1965143755776,3.17763487841999,4.46148549290841,3.0238239956112,1.49872764694818
"S/A/Victoria/7/1987",4.37724192062587,4.39696750986074,2.9987323113701,3.9154573636278,3.24190933350861
"V/A/Shanghai/11/1987",6.39367280720171,3.7254750873255,2.67502570929335,3.12903963396763,1.1482987898288
"V/A/Sichuan/2/1987",5.79749741273611,3.08833073705022,3.50753601953254,2.25135699053188,1.95884010906111
"V/A/Victoria/7/1987",4.60806772581256,4.66504423986971,2.37074160100439,3.3955881035598,4.15107135610949
"S/A/Netherlands/450/1988",4.19801703570038,3.27646377541444,4.06145828437361,3.03986184354997,2.11005865217068
