"","V1","V2"
"S/1.00E+09",2.34352313571299,2.758756685158
"S/10-1074",3.51979068506599,2.00875697513312
"S/10-1074-LS",4.18311424562035,1.83717621141683
"S/10E8v4",4.14418832036527,3.62880311179301
"S/17b",-2.10102110678765,-2.53671479871312
"S/1F7",-1.9269344020692,-1.49898576736205
"S/2F5",0.712795728575789,-1.15373552266435
"S/2G12",1.50654071157869,-1.51583118715979
"S/35O22",0.602207945138396,-0.186355984193355
"S/3BNC117",2.87186679865978,3.64351172688302
"S/3BNC117-LS",3.79092437015077,3.44121154363143
"S/4.00E+10",0.883495832530418,1.42225956321477
"S/447-52D",-0.840297808110113,-2.07914429722549
"S/561_01_18",3.59528664159138,3.65878489364413
"S/b12",0.179376944018768,-0.318191767317774
"S/b6",-2.89958342421349,-0.818815568785048
"S/CH01",-0.27044058312243,0.233337186149168
"S/CH01+VRC-CH31",2.92882206633564,1.69149899508539
"S/CH103",-1.52797217239301,2.75774125375665
"S/CH235",-1.97477716270784,-1.27442524262772
"S/CH235.12",1.24978879144264,2.58309533461126
"S/DH270.4",3.29707243522053,1.05740028287586
"S/DH511.2",2.36851884885934,2.43343688638256
"S/F105",-1.83134254024533,-2.36644593522627
"S/F425 B4e8",0.878287059811721,0.646186380616606
"S/HJ16",-1.29433952596823,0.426556497592975
"S/N6",2.55329705798221,2.93557865287226
"S/N6-LS",2.62161419956743,3.18563755215306
"S/NIH45-46",2.55586707172334,2.0747894597067
"S/PG16",0.770258165203133,3.13631132055338
"S/PG9",1.04704224670602,3.0276379138324
"S/PGDM1400",0.69379635148623,2.83769272159177
"S/PGT121",3.29657779972393,1.66211413521823
"S/PGT121.414.LS",4.04784943943634,1.7762370045142
"S/PGT126",4.03136103590958,1.05184976159952
"S/PGT128",3.69884213239851,1.66477928351264
"S/PGT145",0.350699810377949,2.68254719535254
"S/PGT151",2.61173968154208,3.41166802561161
"S/sCD4",1.4710463211777,0.382048465006871
"S/VRC-CH31",2.11582286512355,1.90930406228997
"S/VRC-PG04",0.727960077407783,2.22397712621983
"S/VRC01",2.33095137576482,2.81301777909343
"S/VRC03",2.730938288301,0.33127749948926
"S/VRC07",2.2254175851844,3.49384039961195
"S/VRC07-523-LS",2.86260097583514,3.35671533625199
"S/VRC13",1.88078767175933,2.42060762880148
"S/VRC26.08",0.356744459372556,2.94182516324459
"S/VRC26.25",0.900190155517507,2.65462588428519
"S/VRC26.25-LS",-0.785930796205362,-0.427128134882553
"S/VRC34.01",1.93723588828939,0.430252367234352
"S/X5",-2.7245018996253,0.10154070653648
"V/0013095_2_11",1.57615330857569,3.68106208033297
"V/001428_2_42",2.42185224094104,3.10349137302012
"V/0077_V1_C16",0.154081628761504,3.17122554831756
"V/00836_2_5",1.93128038939101,5.63266874015779
"V/036_BT_SGA4",3.04807609050204,2.67936156070922
"V/079_LN_SGA3",2.32370527783157,5.18552838163802
"V/079_LN_SGA9",3.64462800061099,3.071124696452
"V/079_PBMC_SGA12",2.33413675196253,2.37080248173573
"V/079_PBMC_SGA17",2.72778167487078,4.10619676424931
"V/079_PBMC_SGA7",2.99399716638222,4.39443655664284
"V/0921_V2_C14",1.03710696317833,3.70213681339313
"V/093_AT_SGA1",2.5669527996971,2.06984718195018
"V/093_BT_SGA13",3.50234193131652,2.05403921516451
"V/093_BT_SGA3",1.79223614740371,1.62865096573413
"V/100002I_2_1",3.52565488941592,1.56343347593587
"V/100014I_2_20",2.42351618545658,1.91236357299616
"V/100046I_3_2",1.59629916247061,2.20924626105073
"V/100052I_2_15",1.68180316569218,0.814948462687998
"V/100155I_21",2.36863923127281,1.21829976125964
