V1,V2,V3,V4,V5,name,antigen,antiserum,year,cluster,color
-2.926373132,-1.952733778,-2.410160056,-1.997319076,-1.050344431,A/HongKong/1/1968,FALSE,TRUE,1968,HK68,purple
-3.20934546,-2.207247833,-1.723282887,-0.699267375,-2.457362596,A/Bilthoven/15793/1968,TRUE,FALSE,1968,HK68,purple
-1.776598983,-2.177638416,-2.780888413,-0.936868255,-1.977424351,A/Bilthoven/16190/1968,TRUE,FALSE,1968,HK68,purple
-2.43847116,-1.763815638,-2.079475801,-1.791416102,-1.248160578,A/Bilthoven/16398/1968,TRUE,FALSE,1968,HK68,purple
-3.332683861,-1.904475744,-3.002497354,-2.632873568,-1.786017467,A/HongKong/1/1968,TRUE,FALSE,1968,HK68,purple
-2.768272573,-2.326129399,-2.856113042,-1.169106145,-1.857278667,A/Bilthoven/17938/1969,TRUE,FALSE,1969,HK68,purple
-2.972107766,-1.24120445,-1.254190804,-0.098946698,-0.451234193,A/Bilthoven/808/1969,TRUE,FALSE,1969,HK68,purple
-3.195853575,-1.918644376,-2.644210228,-1.973968312,-1.042515252,A/Bilthoven/908/1969,TRUE,FALSE,1969,HK68,purple
-2.842719327,-2.045023613,-3.481511078,-0.55627397,-2.160794423,A/Bilthoven/2668/1970,TRUE,FALSE,1970,HK68,purple
-3.001637345,-2.094229671,-2.530560843,-1.890087124,-1.168262922,A/Bilthoven/93/1970,TRUE,FALSE,1970,HK68,purple
-1.674028895,-3.212436051,-4.113677666,-3.963629124,-3.021507417,A/HongKong/107/1971,FALSE,TRUE,1971,HK68,purple
-2.522249738,-2.062459296,-2.068197607,-2.111289955,-1.21760671,A/Bilthoven/21438/1971,TRUE,FALSE,1971,HK68,purple
-2.498571073,-2.09168005,-2.038919316,-1.809005866,-1.187621793,A/Bilthoven/21801/1971,TRUE,FALSE,1971,HK68,purple
-2.398369368,-2.656234326,-3.158170959,-1.266413095,-3.46337999,A/Bilthoven/6449/1971,TRUE,FALSE,1971,HK68,purple
-0.573785448,-2.783736027,-2.2067735,-3.092290145,-2.529488673,A/HongKong/107/1971,TRUE,FALSE,1971,HK68,purple
-0.495163925,-1.51929215,-0.934831588,-0.826959403,-1.935870632,A/Bilthoven/21793/1972,FALSE,TRUE,1972,EN72,darkturquoise
-2.052292572,-0.501172273,-0.235326895,-2.001739065,-1.578035394,A/England/42/1972,FALSE,TRUE,1972,EN72,darkturquoise
