"virusStrain","serumStrain","titer","virusYear","serumYear","cluster","color"
"A/Bilthoven/15793/1968","A/HongKong/1/1968","354",1968,1968,"HK68","purple"
"A/Bilthoven/15793/1968","A/England/42/1972","501",1968,1972,"HK68","purple"
"A/Bilthoven/15793/1968","A/PortChalmers/1/1973","109",1968,1973,"HK68","purple"
"A/Bilthoven/15793/1968","A/Victoria/3/1975","63",1968,1975,"HK68","purple"
"A/Bilthoven/15793/1968","A/Leningrad/360/1986","<10",1968,1986,"HK68","purple"
"A/Bilthoven/15793/1968","A/Texas/1/1977","<20",1968,1977,"HK68","purple"
"A/Bilthoven/15793/1968","A/Netherlands/330/1985","<10",1968,1985,"HK68","purple"
"A/Bilthoven/15793/1968","A/Bangkok/1/1979","<10",1968,1979,"HK68","purple"
"A/Bilthoven/15793/1968","A/Philipdarkgreens/2/1982","<10",1968,1982,"HK68","purple"
"A/Bilthoven/15793/1968","A/Wellington/4/1985","<10",1968,1985,"HK68","purple"
"A/Bilthoven/15793/1968","A/England/496/1980","<10",1968,1980,"HK68","purple"
"A/Bilthoven/16190/1968","A/HongKong/1/1968","640",1968,1968,"HK68","purple"
"A/Bilthoven/16190/1968","A/England/42/1972","320",1968,1972,"HK68","purple"
"A/Bilthoven/16190/1968","A/PortChalmers/1/1973","80",1968,1973,"HK68","purple"
"A/Bilthoven/16190/1968","A/Scotland/840/1974","40",1968,1974,"HK68","purple"
"A/Bilthoven/16190/1968","A/Victoria/3/1975","40",1968,1975,"HK68","purple"
"A/Bilthoven/16190/1968","A/Bilthoven/21793/1972","640",1968,1972,"HK68","purple"
"A/Bilthoven/16190/1968","A/Bilthoven/5930/1974","320",1968,1974,"HK68","purple"
"A/Bilthoven/16190/1968","A/Amsterdam/1609/1977","<10",1968,1977,"HK68","purple"
"A/Bilthoven/16190/1968","A/Bilthoven/2461/1978","<10",1968,1978,"HK68","purple"
"A/Bilthoven/16190/1968","A/Rotterdam/577/1980","<10",1968,1980,"HK68","purple"
"A/Bilthoven/16190/1968","A/Netherlands/209/1980","<10",1968,1980,"HK68","purple"
"A/Bilthoven/16190/1968","A/Netherlands/233/1982","<10",1968,1982,"HK68","purple"
"A/Bilthoven/16190/1968","A/Netherlands/241/1982","<10",1968,1982,"HK68","purple"
"A/Bilthoven/16190/1968","A/Netherlands/330/1985","<10",1968,1985,"HK68","purple"
"A/Bilthoven/16190/1968","A/Stockholm/10/1985","<10",1968,1985,"HK68","purple"
"A/Bilthoven/16190/1968","A/Victoria/2/1990","<10",1968,1990,"HK68","purple"
"A/Bilthoven/16190/1968","A/Lyon/1149/1991","<10",1968,1991,"HK68","purple"
"A/Bilthoven/16190/1968","A/Madrid/G252/1993","<10",1968,1993,"HK68","purple"
"A/Bilthoven/16190/1968","A/Netherlands/1/1995","<10",1968,1995,"HK68","purple"
"A/Bilthoven/16190/1968","A/Netherlands/218/1995","<10",1968,1995,"HK68","purple"
"A/Bilthoven/16190/1968","A/Netherlands/172/1996","<10",1968,1996,"HK68","purple"
"A/Bilthoven/16398/1968","A/HongKong/1/1968","1163",1968,1968,"HK68","purple"
"A/Bilthoven/16398/1968","A/England/42/1972","1163",1968,1972,"HK68","purple"
"A/Bilthoven/16398/1968","A/PortChalmers/1/1973","291",1968,1973,"HK68","purple"
"A/Bilthoven/16398/1968","A/Scotland/840/1974","73",1968,1974,"HK68","purple"
"A/Bilthoven/16398/1968","A/Victoria/3/1975","89",1968,1975,"HK68","purple"
"A/Bilthoven/16398/1968","A/Texas/1/1977","<20",1968,1977,"HK68","purple"
"A/Bilthoven/16398/1968","A/Amsterdam/1609/1977","<20",1968,1977,"HK68","purple"
"A/Bilthoven/16398/1968","A/Bilthoven/2461/1978","<20",1968,1978,"HK68","purple"
"A/Bilthoven/16398/1968","A/Victoria/7/1987","<20",1968,1987,"HK68","purple"
"A/Bilthoven/16398/1968","A/Texas/1/1977","35",1968,1977,"HK68","purple"
"A/Bilthoven/16398/1968","A/Bangkok/2/1979","<20",1968,1979,"HK68","purple"
"A/Bilthoven/16398/1968","A/England/496/1980","<20",1968,1980,"HK68","purple"
"A/Bilthoven/16398/1968","A/Caen/1/1984","<20",1968,1984,"HK68","purple"
"A/Bilthoven/16398/1968","A/Colorado/2/1986","<20",1968,1986,"HK68","purple"
"A/Bilthoven/16398/1968","A/Beijing/353/1989","<20",1968,1989,"HK68","purple"
"A/Bilthoven/16398/1968","A/Victoria/3/1975","<20",1968,1975,"HK68","purple"
"A/HongKong/1/1968","A/HongKong/1/1968","1280",1968,1968,"HK68","purple"
"A/HongKong/1/1968","A/England/42/1972","2560",1968,1972,"HK68","purple"
"A/HongKong/1/1968","A/PortChalmers/1/1973","53",1968,1973,"HK68","purple"
"A/HongKong/1/1968","A/Scotland/840/1974","<10",1968,1974,"HK68","purple"
"A/HongKong/1/1968","A/Leningrad/360/1986","<10",1968,1986,"HK68","purple"
"A/HongKong/1/1968","A/Netherlands/1/1995","<10",1968,1995,"HK68","purple"
"A/HongKong/1/1968","A/Netherlands/218/1995","<10",1968,1995,"HK68","purple"
"A/HongKong/1/1968","A/Netherlands/172/1996","<10",1968,1996,"HK68","purple"
"A/HongKong/1/1968","A/Bangkok/1/1979","<10",1968,1979,"HK68","purple"
"A/HongKong/1/1968","A/Texas/1/1977","<10",1968,1977,"HK68","purple"
"A/HongKong/1/1968","A/Shanghai/11/1987","<10",1968,1987,"HK68","purple"
"A/HongKong/1/1968","A/Guangdong/25/1993","<10",1968,1993,"HK68","purple"
"A/HongKong/1/1968","A/Johannesburg/33/1994","<10",1968,1994,"HK68","purple"
"A/HongKong/1/1968","A/Netherlands/47/1995","<10",1968,1995,"HK68","purple"
"A/HongKong/1/1968","A/Nanchang/933/1995","<10",1968,1995,"HK68","purple"
"A/HongKong/1/1968","A/Lyon/2279/1995","<10",1968,1995,"HK68","purple"
"A/HongKong/1/1968","A/Singapore/1/1996","<10",1968,1996,"HK68","purple"
"A/HongKong/1/1968","A/Auckland/10/1997","<10",1968,1997,"HK68","purple"
"A/HongKong/1/1968","A/Netherlands/5/1998","<10",1968,1998,"HK68","purple"
"A/HongKong/1/1968","A/Victoria/3/1975","<10",1968,1975,"HK68","purple"
"A/HongKong/1/1968","A/Netherlands/18/1994","<10",1968,1994,"HK68","purple"
"A/HongKong/1/1968","A/HongKong/107/1971","1280",1968,1971,"HK68","purple"
"A/HongKong/1/1968","A/Philipdarkgreens/2/1982","<10",1968,1982,"HK68","purple"
"A/HongKong/1/1968","A/Beijing/32/1992","<10",1968,1992,"HK68","purple"
"A/HongKong/1/1968","A/Netherlands/286/1997","<10",1968,1997,"HK68","purple"
"A/HongKong/1/1968","A/Sydney/5/1997","<10",1968,1997,"HK68","purple"
"A/Bilthoven/808/1969","A/HongKong/1/1968","320",1969,1968,"HK68","purple"
"A/Bilthoven/808/1969","A/England/42/1972","640",1969,1972,"HK68","purple"
"A/Bilthoven/808/1969","A/PortChalmers/1/1973","120",1969,1973,"HK68","purple"
"A/Bilthoven/808/1969","A/Scotland/840/1974","80",1969,1974,"HK68","purple"
"A/Bilthoven/808/1969","A/Victoria/3/1975","160",1969,1975,"HK68","purple"
"A/Bilthoven/808/1969","A/Leningrad/360/1986","<10",1969,1986,"HK68","purple"
"A/Bilthoven/908/1969","A/HongKong/1/1968","1280",1969,1968,"HK68","purple"
"A/Bilthoven/908/1969","A/England/42/1972","640",1969,1972,"HK68","purple"
"A/Bilthoven/908/1969","A/PortChalmers/1/1973","80",1969,1973,"HK68","purple"
"A/Bilthoven/908/1969","A/Scotland/840/1974","40",1969,1974,"HK68","purple"
"A/Bilthoven/908/1969","A/Victoria/3/1975","57",1969,1975,"HK68","purple"
"A/Bilthoven/908/1969","A/Leningrad/360/1986","<10",1969,1986,"HK68","purple"
"A/Bilthoven/908/1969","A/Texas/1/1977","<20",1969,1977,"HK68","purple"
"A/Bilthoven/908/1969","A/Amsterdam/1609/1977","<20",1969,1977,"HK68","purple"
"A/Bilthoven/908/1969","A/Bilthoven/2461/1978","<20",1969,1978,"HK68","purple"
"A/Bilthoven/908/1969","A/Victoria/7/1987","<20",1969,1987,"HK68","purple"
"A/Bilthoven/908/1969","A/Texas/1/1977","60",1969,1977,"HK68","purple"
"A/Bilthoven/908/1969","A/Bangkok/2/1979","<20",1969,1979,"HK68","purple"
"A/Bilthoven/908/1969","A/England/496/1980","<20",1969,1980,"HK68","purple"
"A/Bilthoven/908/1969","A/Caen/1/1984","<20",1969,1984,"HK68","purple"
"A/Bilthoven/908/1969","A/Colorado/2/1986","<20",1969,1986,"HK68","purple"
"A/Bilthoven/908/1969","A/Beijing/353/1989","<20",1969,1989,"HK68","purple"
"A/Bilthoven/908/1969","A/Victoria/3/1975","<20",1969,1975,"HK68","purple"
