"type","name","",""
"antigen","A/Bilthoven/15793/1968","9.69857723553023","-10.5423797899847"
"antigen","A/Bilthoven/16190/1968","10.262719214547","-9.77930247163272"
"antigen","A/Bilthoven/16398/1968","10.449353450397","-9.69117438323177"
"antigen","A/HongKong/1/1968","12.1951544232169","-9.99928623828098"
"antigen","A/Bilthoven/17938/1969","10.9806829980932","-10.4399649213702"
"antigen","A/Bilthoven/808/1969","10.5015246531818","-6.76217113109267"
"antigen","A/Bilthoven/908/1969","11.3751494927288","-9.58868641969648"
"antigen","A/Bilthoven/2668/1970","11.4819758609944","-10.8871508568978"
"antigen","A/Bilthoven/93/1970","11.1114740286136","-10.0747159923904"
"antigen","A/Bilthoven/21438/1971","10.4995119083488","-9.81728362474656"
"antigen","A/Bilthoven/21801/1971","10.4460853811206","-9.82766425814531"
"antigen","A/Bilthoven/6449/1971","10.2878687027079","-11.6751733683966"
"antigen","A/HongKong/107/1971","9.48544499096774","-11.5663529883981"
"antigen","A/Bilthoven/21793/1972","7.68063940795493","-9.25252582960726"
"antigen","A/Bilthoven/23290/1972","7.84678415611074","-8.96092414647758"
"antigen","A/Bilthoven/23337/1972","7.68110728305452","-9.82082234653963"
"antigen","A/Bilthoven/6022/1972","9.41130311037529","-10.1461979333467"
"antigen","A/England/42/1972","7.73418715666124","-9.3670656675664"
"antigen","A/Bilthoven/3517/1973","7.8345426668191","-9.57502296198416"
"antigen","A/Bilthoven/552/1973","7.47381560215656","-8.15934706320928"
"antigen","A/Bilthoven/748/1973","7.44124318083402","-9.77831108506332"
"antigen","A/PortChalmers/1/1973","6.36879438355171","-8.45265413327843"
"antigen","A/Bilthoven/5146/1974","6.65223605523337","-10.1431904021581"
"antigen","A/Bilthoven/5930/1974","7.27514400483162","-9.24334198220387"
"antigen","A/Bilthoven/5931/1974","4.87584281614412","-8.28853321138492"
"antigen","A/Bilthoven/7398/1974","5.85235198431657","-8.78689713420117"
"antigen","A/Bilthoven/9459/1974","6.7668204074585","-8.3705714955313"
"antigen","A/Bilthoven/1843/1975","5.2738677522932","-7.92165395571256"
"antigen","A/Bilthoven/2600/1975","6.34698934341895","-9.79488038856574"
"antigen","A/Bilthoven/2813/1975","7.35230591320598","-9.45672014223702"
"antigen","A/Bilthoven/334/1975","4.37146486261834","-8.49823464886339"
"antigen","A/Bilthoven/4273/1975","5.96558441907677","-10.0338762384162"
"antigen","A/Victoria/3/1975","5.79669432437356","-6.04074242093012"
"antigen","A/Bilthoven/1761/1976","4.6162238055509","-5.31458682786743"
"antigen","A/Bilthoven/2271/1976","5.75531656849374","-3.02270193120583"
"antigen","A/Bilthoven/5029/1976","4.32654385109318","-5.00237658791269"
"antigen","A/Bilthoven/5168/1976","4.63318000691174","-5.89725080429685"
"antigen","A/Bilthoven/5657/1976","4.44740664009276","-5.00000149441705"
"antigen","A/Bilthoven/6545/1976","4.59964702596743","-4.94564365283642"
"antigen","A/Amsterdam/1609/1977","5.49544111548181","-5.46367516982014"
"antigen","A/Bilthoven/3895/1977","4.93679294758233","-4.91593176860375"
"antigen","A/Rotterdam/5828/1977","5.17821988806636","-6.14512300167663"
