name,V1,V2,V3,V4,antigen,antiserum,year,cluster,color
A/Akita/4/1993,4.102613347,5.121990215,9.568354805,7.393537452,TRUE,FALSE,1993,BE92,pink
A/Amsterdam/1609/1977,2.665244069,-0.476702019,0.384306371,2.216024275,FALSE,TRUE,1977,VI75,darkgoldenrod1
A/Amsterdam/1609/1977,1.093299127,-1.196074969,-0.881071139,1.100285077,TRUE,FALSE,1977,VI75,darkgoldenrod1
A/Atlanta/211/1989,4.885074134,4.204630125,3.371649166,3.684754217,TRUE,FALSE,1989,SI87,blue
A/Atlanta/3572/1988,4.821096236,2.857838892,2.217029254,3.425384393,TRUE,FALSE,1988,SI87,blue
A/Auckland/10/1997,9.27906459,11.60311329,9.343173876,9.600494838,TRUE,FALSE,1997,SY97,lightblue
A/Auckland/10/1997,9.001320046,10.39678235,8.938226678,9.608386705,FALSE,TRUE,1997,SY97,lightblue
A/Auckland/4382/1982,0.536437405,2.808250713,2.400513753,3.261688941,TRUE,FALSE,1982,BK79,green
A/Bangkok/1/1979,-0.166681793,2.206533364,3.910596668,4.699093982,TRUE,FALSE,1979,BK79,green
A/Bangkok/1/1979,-0.745220369,3.620731207,2.539120807,3.594672678,FALSE,TRUE,1979,BK79,green
A/Beijing/32/1992,2.915025132,5.70654618,7.787526637,5.93797168,TRUE,FALSE,1992,BE89,red
A/Beijing/32/1992,5.174112484,5.705000903,7.28771532,6.736697936,FALSE,TRUE,1992,BE89,red
A/Beijing/352/1989,5.937507968,6.055337798,4.990745085,3.131840222,TRUE,FALSE,1989,BE89,red
A/Beijing/353/1989,4.80911879,7.760503469,2.176223438,3.500730114,TRUE,FALSE,1989,SI87,blue
A/Beijing/353/1989,5.329817898,6.252994912,4.158786946,3.520993211,FALSE,TRUE,1989,SI87,blue
A/Bilthoven/10684/1982,0.916823428,3.33730002,2.609260899,3.346870035,TRUE,FALSE,1982,BK79,green
A/Bilthoven/15793/1968,-2.022058269,-0.517683996,-2.340728538,-3.958389489,TRUE,FALSE,1968,HK68,purple
A/Bilthoven/16190/1968,-3.391728393,-0.785150987,-1.680081544,-2.380764004,TRUE,FALSE,1968,HK68,purple
A/Bilthoven/16398/1968,-2.687740427,-1.298322454,-0.776112413,-3.521437743,TRUE,FALSE,1968,HK68,purple
A/Bilthoven/1761/1976,2.029125864,-0.886238657,-0.49081801,0.766163959,TRUE,FALSE,1976,VI75,darkgoldenrod1
A/Bilthoven/17938/1969,-3.784859052,-1.219213207,-1.511996537,-3.739994525,TRUE,FALSE,1969,HK68,purple
A/Bilthoven/1843/1975,-0.730923833,-2.759751338,-3.222765276,-0.350057496,TRUE,FALSE,1975,EN72,darkturquoise
A/Bilthoven/21438/1971,-2.682830818,-0.925025579,-0.992477436,-3.917673901,TRUE,FALSE,1971,HK68,purple
A/Bilthoven/21793/1972,-1.376802605,-1.518329084,-1.932648384,-1.690576907,FALSE,TRUE,1972,EN72,darkturquoise
A/Bilthoven/21793/1972,-0.922073958,-1.9636293,-2.319842837,-1.911827249,TRUE,FALSE,1972,EN72,darkturquoise
A/Bilthoven/21801/1971,-2.723124806,-0.967005664,-1.062421459,-3.765507527,TRUE,FALSE,1971,HK68,purple
A/Bilthoven/2271/1976,0.870980296,1.008450723,0.720377962,1.091752252,TRUE,FALSE,1976,TX77,brown
A/Bilthoven/23290/1972,-1.189684418,-0.482963742,-2.602996812,-1.566044322,TRUE,FALSE,1972,EN72,darkturquoise
A/Bilthoven/23337/1972,-0.979929105,-2.311044762,-2.941235498,-2.044871305,TRUE,FALSE,1972,EN72,darkturquoise
A/Bilthoven/2600/1975,0.969373619,-1.569999622,-2.490120817,-2.793290068,TRUE,FALSE,1975,EN72,darkturquoise
A/Bilthoven/2668/1970,-4.570086005,-1.394899283,-1.741520326,-3.496040551,TRUE,FALSE,1970,HK68,purple
A/Bilthoven/2813/1975,-1.542260553,-2.330650698,-2.988761682,-0.835624119,TRUE,FALSE,1975,EN72,darkturquoise
A/Bilthoven/334/1975,0.551527505,-3.769544267,-2.443580536,-0.262307855,TRUE,FALSE,1975,EN72,darkturquoise
A/Bilthoven/3517/1973,-0.736475274,-3.049238019,-1.843374488,-2.292467491,TRUE,FALSE,1973,EN72,darkturquoise
A/Bilthoven/3895/1977,1.789657775,-0.712897353,-0.233794581,0.898915146,TRUE,FALSE,1977,VI75,darkgoldenrod1
A/Bilthoven/4273/1975,1.497280457,-1.575154133,-2.474526823,-3.087893537,TRUE,FALSE,1975,EN72,darkturquoise
A/Bilthoven/4791/1981,1.428591601,3.180435623,2.425222534,3.29039288,TRUE,FALSE,1981,BK79,green
A/Bilthoven/5029/1976,2.227320884,-0.993758175,-0.789896554,1.870977652,TRUE,FALSE,1976,VI75,darkgoldenrod1
A/Bilthoven/5146/1974,0.651335249,-3.00376612,-3.040108369,-2.334302772,TRUE,FALSE,1974,EN72,darkturquoise
A/Bilthoven/5168/1976,0.768695865,-1.846113687,-1.999011683,1.458837165,TRUE,FALSE,1976,,
A/Bilthoven/552/1973,-0.903364365,-0.776371799,-2.062668676,-1.71924068,TRUE,FALSE,1973,EN72,darkturquoise
A/Bilthoven/5657/1976,2.056472184,-0.845052483,-0.533377008,1.445196437,TRUE,FALSE,1976,VI75,darkgoldenrod1
A/Bilthoven/5930/1974,-0.826931476,-1.434143849,-1.658447919,-0.226138086,FALSE,TRUE,1974,EN72,darkturquoise
