log_N,log_k0,log_cooling_rate,log_c_repulsion,Holdout_MAE,NLL
1.386294361,1.684633623,-4.372097734,-6.299976588,0.60722292,1741.27172
1.945910149,2.690460286,-3.040164393,-5.861692258,0.585869374,1689.076605
2.302585093,2.430782997,-4.921910422,-5.546730301,0.559888664,1622.943323
2.48490665,1.76577245,-3.105619174,-5.310594804,0.559325228,1621.475348
0.693147181,2.869708581,-5.265675994,-5.096604663,0.835123267,2205.912069
1.791759469,2.597301045,-2.553328862,-4.931151223,0.582737892,1681.262668
2.302585093,2.878552815,-2.370982726,-4.807901726,0.571703519,1653.39013
1.945910149,1.518405132,-2.725905961,-4.668139053,0.58315361,1682.302417
1.386294361,2.793125958,-2.347249757,-4.515508642,0.596846958,1716.142736
2.48490665,2.788630978,-3.218843058,-4.395760692,0.562122096,1628.74781
0.693147181,1.477347216,-2.51051544,-4.347791645,0.856511058,2242.781811
1.791759469,2.176687467,-2.88291491,-4.28251419,0.563160478,1631.438621
2.079441542,0.926111284,-4.207083296,-4.192895131,0.566915467,1641.12787
2.397895273,2.541166899,-2.502436815,-4.069034023,0.568399168,1644.938687
1.098612289,2.332624291,-2.670282658,-4.03674927,0.700801774,1950.245546
1.098612289,2.473005419,-3.396390308,-3.994294693,0.647417258,1834.722268
1.791759469,2.241360538,-3.556867887,-3.925234164,0.586425404,1690.459689
2.197224577,2.705982696,-3.137035724,-3.863201798,0.569478498,1647.70465
1.098612289,1.576254325,-2.923496775,-3.822774691,0.700699608,1950.032977
1.609437912,2.765726688,-3.790098432,-3.732653392,0.621550889,1775.274928
2.197224577,0.1764591,-2.407120937,-3.704342386,1.015335787,2490.798448
2.197224577,2.848362524,-2.743448011,-3.650710733,0.575868639,1663.973818
1.386294361,2.126743966,-3.079830411,-3.600003769,0.637524565,1812.271709
2.397895273,2.441448632,-2.76218634,-3.579793273,0.567610829,1642.915115
1.945910149,2.503369069,-2.429845596,-3.553680064,0.591083463,1701.995034
2.397895273,2.013830145,-3.981330009,-3.486094617,0.542337368,1576.506472
2.302585093,2.811425048,-4.672235231,-3.45476137,0.57984758,1674.013165
1.098612289,2.065723942,-4.719514411,-3.428871333,0.603258816,1731.722324
0.693147181,2.633813794,-3.278635135,-3.390029284,0.717474409,1984.526348
1.609437912,2.574806806,-2.914136498,-3.354035839,0.585670339,1688.581201
1.609437912,1.717320696,-2.391589659,-3.321683725,0.681596333,1909.731406
2.302585093,2.516381839,-3.375209167,-3.285510841,0.562130152,1628.768704
2.079441542,1.296974057,-2.472843229,-3.251662352,0.690560015,1928.780598
2.397895273,1.10410337,-2.806399583,-3.230630833,0.666697132,1877.507088
1.791759469,1.36031869,-3.17771231,-3.211780638,0.629325522,1793.399119
2.48490665,1.829685525,-2.331382447,-3.176353147,0.613404077,1756.038236
0.693147181,0.474172314,-3.012219287,-3.138482289,0.95703306,2404.577103
2.197224577,2.112885192,-2.641643436,-3.127243295,0.591765901,1703.677405
1.386294361,2.611790002,-3.656506702,-3.099601928,0.616901522,1764.327702
2.197224577,1.929255811,-3.465655816,-3.079251704,0.567488097,1642.599824
1.791759469,2.301758262,-2.818809874,-3.039218183,0.590429091,1700.38003
1.386294361,2.208537082,-2.601646632,-3.020271135,0.670819787,1886.49516
1.098612289,2.400627705,-2.462031737,-2.997144771,0.689315975,1926.15165
2.48490665,0.873214368,-3.67143914,-2.967368728,0.605643296,1737.473951
2.079441542,2.25683274,-4.378865915,-2.958837805,0.563046869,1631.144462
2.079441542,0.751363352,-6.507568966,-2.933818505,0.575762722,1663.705628
1.945910149,2.33735609,-3.941261517,-2.903661899,0.579447315,1673.006369
2.48490665,1.856042121,-5.541009373,-2.882867333,0.545485826,1584.946198
1.609437912,2.749371966,-2.683916807,-2.873143506,0.601281867,1726.936443
