"Dimension","MAE","Completeness","OriginalDimension","Variant","Algorithm"
2,4.44793720500809,100,2,"S_missing","MDS"
3,4.4635980823222,100,2,"S_missing","MDS"
4,4.46359808041316,100,2,"S_missing","MDS"
5,4.46359808164045,100,2,"S_missing","MDS"
6,4.46359808181055,100,2,"S_missing","MDS"
7,4.46359808218252,100,2,"S_missing","MDS"
8,4.46359808303433,100,2,"S_missing","MDS"
9,4.46359808158262,100,2,"S_missing","MDS"
10,4.46359808134969,100,2,"S_missing","MDS"
11,4.46359808123953,100,2,"S_missing","MDS"
12,4.46310441717207,99.9294532627866,2,"S_missing","MDS"
2,3.29995048605339,100,2,"M_missing","MDS"
3,3.30317183889025,100,2,"M_missing","MDS"
4,3.30432893839739,100,2,"M_missing","MDS"
5,3.30427107820299,100,2,"M_missing","MDS"
6,3.30735687622696,99.7749871244877,2,"M_missing","MDS"
7,3.31012628618637,99.549655294967,2,"M_missing","MDS"
8,3.30096419632275,98.9325101001527,2,"M_missing","MDS"
9,3.28964921596093,97.921484115385,2,"M_missing","MDS"
10,3.27940922294765,95.3907602098716,2,"M_missing","MDS"
11,3.25183327209435,91.4228748252905,2,"M_missing","MDS"
2,2.34183764134084,98.5206791834751,2,"L_missing","MDS"
3,2.27330191677262,93.9436314509929,2,"L_missing","MDS"
2,4.73195645744673,100,2,"S_noise1","MDS"
3,4.76055091404784,100,2,"S_noise1","MDS"
4,4.76151480332042,100,2,"S_noise1","MDS"
5,4.76182782931228,100,2,"S_noise1","MDS"
6,4.7618489944628,100,2,"S_noise1","MDS"
7,4.76184898808769,100,2,"S_noise1","MDS"
8,4.76184899606225,100,2,"S_noise1","MDS"
9,4.76184899563498,100,2,"S_noise1","MDS"
10,4.76184899284417,100,2,"S_noise1","MDS"
11,4.7618489910618,100,2,"S_noise1","MDS"
12,4.76184899472562,100,2,"S_noise1","MDS"
2,3.45075387440559,100,2,"M_noise1","MDS"
3,3.46637156581117,100,2,"M_noise1","MDS"
4,3.46981007513983,100,2,"M_noise1","MDS"
5,3.47138794591982,100,2,"M_noise1","MDS"
6,3.47275803214565,99.7778101829142,2,"M_noise1","MDS"
7,3.47535902214849,99.5820460901829,2,"M_noise1","MDS"
8,3.47508380581082,98.9322716586953,2,"M_noise1","MDS"
9,3.4541033476789,98.1888488846556,2,"M_noise1","MDS"
10,3.45169103884367,95.7256323938991,2,"M_noise1","MDS"
11,3.42120015517628,92.2287165139616,2,"M_noise1","MDS"
2,2.35951924620655,98.6718116709168,2,"L_noise1","MDS"
3,2.34863049471656,94.9288793605221,2,"L_noise1","MDS"
2,5.20352198753189,100,2,"S_noise_bias","MDS"
3,5.21069347974818,100,2,"S_noise_bias","MDS"
4,5.2112753569028,100,2,"S_noise_bias","MDS"
5,5.21130586099479,100,2,"S_noise_bias","MDS"
6,5.21130585689948,100,2,"S_noise_bias","MDS"
7,5.21130586141583,100,2,"S_noise_bias","MDS"
8,5.21130586223105,100,2,"S_noise_bias","MDS"
9,5.21130586066526,100,2,"S_noise_bias","MDS"
10,5.21130585928593,100,2,"S_noise_bias","MDS"
11,5.21130585245206,100,2,"S_noise_bias","MDS"
12,5.21130585737191,100,2,"S_noise_bias","MDS"
2,3.78209868147793,100,2,"M_noise_bias","MDS"
3,3.80901412997406,100,2,"M_noise_bias","MDS"
4,3.81500655068329,100,2,"M_noise_bias","MDS"
5,3.81554907133382,100,2,"M_noise_bias","MDS"
6,3.81831876192685,99.8363496118535,2,"M_noise_bias","MDS"
7,3.82024162588824,99.5529597849462,2,"M_noise_bias","MDS"
8,3.81719483508508,98.9405779458623,2,"M_noise_bias","MDS"
9,3.80243081808814,98.2798332498133,2,"M_noise_bias","MDS"
10,3.78070200923858,95.8830033349268,2,"M_noise_bias","MDS"
11,3.764709723811,91.8729264369084,2,"M_noise_bias","MDS"
2,2.61528750814547,98.5554653106182,2,"L_noise_bias","MDS"
3,2.66321344956558,95.569839950073,2,"L_noise_bias","MDS"
4,2.65208046990613,87.6598317150323,2,"L_noise_bias","MDS"
2,4.87780985165055,100,5,"S_missing","MDS"
3,4.63754965509767,100,5,"S_missing","MDS"
4,4.57415876961067,100,5,"S_missing","MDS"
5,4.55250020600537,100,5,"S_missing","MDS"
6,4.55042888079065,100,5,"S_missing","MDS"
7,4.55045343957671,100,5,"S_missing","MDS"
8,4.55045344297244,100,5,"S_missing","MDS"
9,4.55045344184824,100,5,"S_missing","MDS"
10,4.55045343977751,100,5,"S_missing","MDS"
11,4.54670582792089,99.9291314363909,5,"S_missing","MDS"
12,4.54140325645618,99.7859926003646,5,"S_missing","MDS"
2,3.95326133997338,100,5,"M_missing","MDS"
3,3.69648678072639,100,5,"M_missing","MDS"
4,3.58943710444853,100,5,"M_missing","MDS"
5,3.56974454409731,99.9363057324841,5,"M_missing","MDS"
6,3.56605936301176,99.8045555049542,5,"M_missing","MDS"
7,3.56915519824317,99.2530862101591,5,"M_missing","MDS"
8,3.56916036845629,98.4415980923144,5,"M_missing","MDS"
9,3.57652784073732,96.7888040310909,5,"M_missing","MDS"
10,3.58943370064313,94.5647516758265,5,"M_missing","MDS"
2,3.75704628786245,98.0630011606756,5,"L_missing","MDS"
3,3.50847241586019,94.2432649799275,5,"L_missing","MDS"
2,5.19205568386172,100,5,"S_noise1","MDS"
3,4.93395508872436,100,5,"S_noise1","MDS"
4,4.86162632628079,100,5,"S_noise1","MDS"
5,4.82901598546005,100,5,"S_noise1","MDS"
6,4.82418087662753,100,5,"S_noise1","MDS"
7,4.82407761919873,100,5,"S_noise1","MDS"
8,4.82407761351342,100,5,"S_noise1","MDS"
9,4.82407761115007,100,5,"S_noise1","MDS"
10,4.82407761223985,100,5,"S_noise1","MDS"
11,4.82144190497127,99.9655172413793,5,"S_noise1","MDS"
12,4.8134864979753,99.8058601299888,5,"S_noise1","MDS"
2,4.03172034489758,100,5,"M_noise1","MDS"
3,3.77346130962626,100,5,"M_noise1","MDS"
4,3.67166226088017,100,5,"M_noise1","MDS"
5,3.64795565232102,99.9382716049383,5,"M_noise1","MDS"
6,3.6407390423389,99.7057630632065,5,"M_noise1","MDS"
