"","V1","V2"
"S/1.00E+09",2.55873457142782,2.36199891392705
"S/10-1074",2.08873452481918,2.20939875501026
"S/10-1074-LS",2.45727417816784,3.06463477761565
"S/10E8v4",3.35318946013936,3.76334621140441
"S/17b",-2.19721266326798,-2.06262083969129
"S/1F7",-1.76435930936315,-1.85725514212788
"S/2F5",0.356504976489344,-1.09250194726664
"S/2G12",0.905064469310298,-1.32239927148421
"S/35O22",-0.612703129035178,0.630451611028263
"S/3BNC117",3.40858382874348,2.29618754031639
"S/3BNC117-LS",4.30698242742176,2.99245077568602
"S/4.00E+10",0.483352444569829,2.20515571799482
"S/447-52D",-1.24814485987983,-1.74477755170778
"S/561_01_18",3.98757084252115,3.16806440058668
"S/b12",-0.214270951966455,0.0171811068940935
"S/b6",-2.21391979939279,-2.38145251543509
"S/CH01",-0.723202553655453,0.451582390017558
"S/CH01+VRC-CH31",3.03430232565672,1.21146117074135
"S/CH103",2.75473559091207,-0.99636212929142
"S/CH235",-1.7822770313967,-0.912833300107031
"S/CH235.12",1.87888271469217,1.66531657454554
"S/DH270.4",2.49612302009269,1.83196551553797
"S/DH511.2",2.72787207910416,2.24802475454828
"S/F105",-2.02327829403961,-1.71959109124441
"S/F425 B4e8",0.742622643178258,0.411212391890793
"S/HJ16",1.2977210053556,-1.53967983530451
"S/N6",2.76826291688818,2.85784001778534
"S/N6-LS",2.87966524074737,2.13112940464644
"S/NIH45-46",2.67440547265264,1.55726448910011
"S/PG16",0.833402626879719,3.15485282999401
"S/PG9",1.23894223937958,3.26837483514737
"S/PGDM1400",0.938582732552612,3.35690012155829
"S/PGT121",2.21854290068938,1.69471750897452
"S/PGT121.414.LS",2.20098507893483,2.98182375189336
"S/PGT126",3.43146163292766,2.25177873916663
"S/PGT128",1.40738331350329,2.02209754979271
"S/PGT145",0.717878650289241,2.77282848350059
"S/PGT151",2.83112354542699,1.35020702430493
"S/sCD4",0.171278538397142,3.42879474648471
"S/VRC-CH31",2.53570009985858,1.23314645228526
"S/VRC-PG04",3.78765607874406,1.23224387856573
"S/VRC01",2.84034905649133,1.92536689869327
"S/VRC03",-0.419076449658513,1.06873013566732
"S/VRC07",3.05045024007699,2.7147642745647
"S/VRC07-523-LS",3.18292352810195,2.7764843462641
"S/VRC13",3.08578220587328,1.71510413059708
"S/VRC26.08",0.899127434166447,4.54202169343687
"S/VRC26.25",1.04973516227789,3.94641555092203
"S/VRC26.25-LS",-0.256047181122215,-0.473911766105046
"S/VRC34.01",0.049086090091654,2.63454123391372
