"Dimension","Validation_Cor","Algorithm","Scenario","Fold"
2,0.987506118232743,"MDS","dim2_S_missing",1
2,0.98949420492338,"MDS","dim2_S_missing",2
2,0.987259738952049,"MDS","dim2_S_missing",3
2,0.98182353398912,"MDS","dim2_S_missing",4
2,0.988533676252673,"MDS","dim2_S_missing",5
2,0.990063721109708,"MDS","dim2_S_missing",6
2,0.983813236649957,"MDS","dim2_S_missing",7
2,0.987166195089466,"MDS","dim2_S_missing",8
2,0.994084751044774,"MDS","dim2_S_missing",9
2,0.986052471234932,"MDS","dim2_S_missing",10
2,0.994276686876006,"MDS","dim2_S_missing",11
2,0.991684170400316,"MDS","dim2_S_missing",12
2,0.986504399828029,"MDS","dim2_S_missing",13
2,0.995141064556083,"MDS","dim2_S_missing",14
2,0.987268579280736,"MDS","dim2_S_missing",15
2,0.967811758755136,"MDS","dim2_S_missing",16
2,0.991254323803408,"MDS","dim2_S_missing",17
2,0.99361105134228,"MDS","dim2_S_missing",18
2,0.991575203676889,"MDS","dim2_S_missing",19
2,0.976537356135294,"MDS","dim2_S_missing",20
2,0.822952519996379,"MDS","dim2_M_missing",1
2,0.990945520627965,"MDS","dim2_M_missing",2
2,0.870499989483469,"MDS","dim2_M_missing",3
2,0.96482403971652,"MDS","dim2_M_missing",4
2,0.627503790840435,"MDS","dim2_M_missing",5
2,0.993321697668897,"MDS","dim2_M_missing",6
2,0.937553007172037,"MDS","dim2_M_missing",7
2,0.967515119606735,"MDS","dim2_M_missing",8
2,0.984769903165082,"MDS","dim2_M_missing",9
2,0.98488070970095,"MDS","dim2_M_missing",10
2,0.946669268388488,"MDS","dim2_M_missing",11
2,0.991289917128571,"MDS","dim2_M_missing",12
2,0.916580494709313,"MDS","dim2_M_missing",13
2,0.974533071095042,"MDS","dim2_M_missing",14
2,0.985643046127362,"MDS","dim2_M_missing",15
2,0.960257312452483,"MDS","dim2_M_missing",16
2,0.985226934522057,"MDS","dim2_M_missing",17
2,0.973382883356675,"MDS","dim2_M_missing",18
2,0.977353046901476,"MDS","dim2_M_missing",19
2,0.961165920604984,"MDS","dim2_M_missing",20
2,-0.7390517350848,"MDS","dim2_L_missing",1
2,-0.388516244100198,"MDS","dim2_L_missing",2
2,1,"MDS","dim2_L_missing",3
2,0.635855882360545,"MDS","dim2_L_missing",4
2,1,"MDS","dim2_L_missing",5
2,1,"MDS","dim2_L_missing",6
2,0.34056854872023,"MDS","dim2_L_missing",7
2,0.311038434513509,"MDS","dim2_L_missing",8
2,0.692362304091339,"MDS","dim2_L_missing",9
2,1,"MDS","dim2_L_missing",10
2,0.127400489337191,"MDS","dim2_L_missing",11
2,0.37627643898651,"MDS","dim2_L_missing",12
2,0.942152134119099,"MDS","dim2_L_missing",13
2,-0.251333745087177,"MDS","dim2_L_missing",14
2,1,"MDS","dim2_L_missing",15
2,1,"MDS","dim2_L_missing",16
2,NA,"MDS","dim2_L_missing",17
2,0.556236983530311,"MDS","dim2_L_missing",18
2,0.0273066424821012,"MDS","dim2_L_missing",19
2,NA,"MDS","dim2_L_missing",20
2,0.991680040414034,"MDS","dim2_S_noise1",1
2,0.98579652249603,"MDS","dim2_S_noise1",2
2,0.982652703621526,"MDS","dim2_S_noise1",3
2,0.984231244421627,"MDS","dim2_S_noise1",4
2,0.991689064849827,"MDS","dim2_S_noise1",5
2,0.987462829454411,"MDS","dim2_S_noise1",6
2,0.98993975713117,"MDS","dim2_S_noise1",7
2,0.990589266515291,"MDS","dim2_S_noise1",8
2,0.98612791800304,"MDS","dim2_S_noise1",9
2,0.725460545125779,"MDS","dim2_S_noise1",10
2,0.994939310822275,"MDS","dim2_S_noise1",11
2,0.956887861301761,"MDS","dim2_S_noise1",12
2,0.971347786963741,"MDS","dim2_S_noise1",13
2,0.989692056806297,"MDS","dim2_S_noise1",14
2,0.990196953453126,"MDS","dim2_S_noise1",15
2,0.990249686288683,"MDS","dim2_S_noise1",16
2,0.985407658519688,"MDS","dim2_S_noise1",17
2,0.994052028974863,"MDS","dim2_S_noise1",18
2,0.994429907640339,"MDS","dim2_S_noise1",19
2,0.962594781386527,"MDS","dim2_S_noise1",20
2,0.966690883749377,"MDS","dim2_M_noise1",1
2,0.967023242932717,"MDS","dim2_M_noise1",2
2,0.956085473853536,"MDS","dim2_M_noise1",3
2,0.973152316212013,"MDS","dim2_M_noise1",4
2,0.918313000754014,"MDS","dim2_M_noise1",5
2,0.954792565895126,"MDS","dim2_M_noise1",6
2,0.977518336934851,"MDS","dim2_M_noise1",7
2,0.938518189529154,"MDS","dim2_M_noise1",8
2,0.928072823614913,"MDS","dim2_M_noise1",9
2,0.979133756169063,"MDS","dim2_M_noise1",10
2,0.970351897895927,"MDS","dim2_M_noise1",11
2,0.983983613011419,"MDS","dim2_M_noise1",12
2,0.977123792511478,"MDS","dim2_M_noise1",13
2,0.871722662038776,"MDS","dim2_M_noise1",14
2,0.984884668555631,"MDS","dim2_M_noise1",15
2,0.976358172517842,"MDS","dim2_M_noise1",16
2,0.889271481132553,"MDS","dim2_M_noise1",17
2,0.984978929613193,"MDS","dim2_M_noise1",18
2,0.98199027522065,"MDS","dim2_M_noise1",19
2,0.855265399216004,"MDS","dim2_M_noise1",20
2,0.644242519269834,"MDS","dim2_L_noise1",1
2,-0.99886466506587,"MDS","dim2_L_noise1",2
2,NA,"MDS","dim2_L_noise1",3
2,0.986776884576992,"MDS","dim2_L_noise1",4
2,1,"MDS","dim2_L_noise1",5
2,-0.0816575796629555,"MDS","dim2_L_noise1",6
2,0.494829711857236,"MDS","dim2_L_noise1",7
2,-0.88376950600335,"MDS","dim2_L_noise1",8
2,NA,"MDS","dim2_L_noise1",9
2,0.976668623974328,"MDS","dim2_L_noise1",10
2,0.419468457418209,"MDS","dim2_L_noise1",11
2,-0.0193557548498359,"MDS","dim2_L_noise1",12
2,-0.0298932691835513,"MDS","dim2_L_noise1",13
2,0.865085066503042,"MDS","dim2_L_noise1",14
2,0.776711084887823,"MDS","dim2_L_noise1",15
2,1,"MDS","dim2_L_noise1",16
2,0.358683820962804,"MDS","dim2_L_noise1",17
2,0.442009933375294,"MDS","dim2_L_noise1",18
2,0.96912678891349,"MDS","dim2_L_noise1",19
2,1,"MDS","dim2_L_noise1",20
2,0.987891711254803,"MDS","dim2_S_noise_bias",1
2,0.991849796041421,"MDS","dim2_S_noise_bias",2
2,0.981315592042617,"MDS","dim2_S_noise_bias",3
2,0.974821687901005,"MDS","dim2_S_noise_bias",4
2,0.990493685836452,"MDS","dim2_S_noise_bias",5
2,0.990653940577069,"MDS","dim2_S_noise_bias",6
2,0.988408688159951,"MDS","dim2_S_noise_bias",7
2,0.997522981398875,"MDS","dim2_S_noise_bias",8
2,0.97998893868354,"MDS","dim2_S_noise_bias",9
2,0.991446710541714,"MDS","dim2_S_noise_bias",10
2,0.991208150129443,"MDS","dim2_S_noise_bias",11
2,0.99579664499439,"MDS","dim2_S_noise_bias",12
2,0.986717735027764,"MDS","dim2_S_noise_bias",13
2,0.991319098210299,"MDS","dim2_S_noise_bias",14
2,0.976855356268026,"MDS","dim2_S_noise_bias",15
2,0.995555269060973,"MDS","dim2_S_noise_bias",16
2,0.970472900108442,"MDS","dim2_S_noise_bias",17
2,0.993475792651167,"MDS","dim2_S_noise_bias",18
2,0.982661733725671,"MDS","dim2_S_noise_bias",19
2,0.985218774431378,"MDS","dim2_S_noise_bias",20
2,0.906163096745906,"MDS","dim2_M_noise_bias",1
2,0.986634939297879,"MDS","dim2_M_noise_bias",2
2,0.928538902043444,"MDS","dim2_M_noise_bias",3
2,0.981560065148262,"MDS","dim2_M_noise_bias",4
2,0.983438360905699,"MDS","dim2_M_noise_bias",5
2,0.908597555445565,"MDS","dim2_M_noise_bias",6
2,0.967413084170107,"MDS","dim2_M_noise_bias",7
2,0.981177820394019,"MDS","dim2_M_noise_bias",8
2,0.928263112575071,"MDS","dim2_M_noise_bias",9
2,0.981769805501809,"MDS","dim2_M_noise_bias",10
2,0.976470415954261,"MDS","dim2_M_noise_bias",11
2,0.944062311094003,"MDS","dim2_M_noise_bias",12
2,0.959830852680399,"MDS","dim2_M_noise_bias",13
2,0.973738799940634,"MDS","dim2_M_noise_bias",14
2,0.951254344837155,"MDS","dim2_M_noise_bias",15
2,0.973764201190193,"MDS","dim2_M_noise_bias",16
2,0.985729335406198,"MDS","dim2_M_noise_bias",17
2,0.691440121593039,"MDS","dim2_M_noise_bias",18
2,0.972204517622454,"MDS","dim2_M_noise_bias",19
2,0.910459314716978,"MDS","dim2_M_noise_bias",20
2,0.79269558066461,"MDS","dim2_L_noise_bias",1
2,1,"MDS","dim2_L_noise_bias",2
2,-1,"MDS","dim2_L_noise_bias",3
2,-0.162124099878306,"MDS","dim2_L_noise_bias",4
2,1,"MDS","dim2_L_noise_bias",5
2,0.0903015801906022,"MDS","dim2_L_noise_bias",6
2,0.745378868962058,"MDS","dim2_L_noise_bias",7
2,0.705271721934766,"MDS","dim2_L_noise_bias",8
2,0.634284491379335,"MDS","dim2_L_noise_bias",9
2,0.965049519267155,"MDS","dim2_L_noise_bias",10
2,1,"MDS","dim2_L_noise_bias",11
2,0.351649393427293,"MDS","dim2_L_noise_bias",12
2,NA,"MDS","dim2_L_noise_bias",13
2,0.813924256026689,"MDS","dim2_L_noise_bias",14
2,0.89947936077351,"MDS","dim2_L_noise_bias",15
2,1,"MDS","dim2_L_noise_bias",16
2,-0.193555638019191,"MDS","dim2_L_noise_bias",17
2,NA,"MDS","dim2_L_noise_bias",18
2,1,"MDS","dim2_L_noise_bias",19
2,0.155390687696904,"MDS","dim2_L_noise_bias",20
5,0.982636750577088,"MDS","dim5_S_missing",1
5,0.985534362701307,"MDS","dim5_S_missing",2
5,0.980975810524612,"MDS","dim5_S_missing",3
5,0.978897586053802,"MDS","dim5_S_missing",4
5,0.977680326595879,"MDS","dim5_S_missing",5
5,0.958218490235472,"MDS","dim5_S_missing",6
5,0.98506927987836,"MDS","dim5_S_missing",7
5,0.98567546555719,"MDS","dim5_S_missing",8
5,0.973492771100977,"MDS","dim5_S_missing",9
5,0.959273577457891,"MDS","dim5_S_missing",10
5,0.970004909155799,"MDS","dim5_S_missing",11
5,0.988842460820036,"MDS","dim5_S_missing",12
5,0.960368569432745,"MDS","dim5_S_missing",13
5,0.953205640810587,"MDS","dim5_S_missing",14
5,0.974849140528078,"MDS","dim5_S_missing",15
5,0.967729152403059,"MDS","dim5_S_missing",16
5,0.98692456419229,"MDS","dim5_S_missing",17
5,0.961346933071647,"MDS","dim5_S_missing",18
5,0.978340299463256,"MDS","dim5_S_missing",19
