"Dimension","Mapped","Total","Validation_Coverage","Algorithm","Scenario","Fold"
2,80,80,1,"MDS","dim2_S_missing",1
2,80,80,1,"MDS","dim2_S_missing",2
2,80,80,1,"MDS","dim2_S_missing",3
2,80,80,1,"MDS","dim2_S_missing",4
2,80,80,1,"MDS","dim2_S_missing",5
2,80,80,1,"MDS","dim2_S_missing",6
2,80,80,1,"MDS","dim2_S_missing",7
2,80,80,1,"MDS","dim2_S_missing",8
2,80,80,1,"MDS","dim2_S_missing",9
2,80,80,1,"MDS","dim2_S_missing",10
2,80,80,1,"MDS","dim2_S_missing",11
2,80,80,1,"MDS","dim2_S_missing",12
2,80,80,1,"MDS","dim2_S_missing",13
2,80,80,1,"MDS","dim2_S_missing",14
2,80,80,1,"MDS","dim2_S_missing",15
2,80,80,1,"MDS","dim2_S_missing",16
2,80,80,1,"MDS","dim2_S_missing",17
2,80,80,1,"MDS","dim2_S_missing",18
2,80,80,1,"MDS","dim2_S_missing",19
2,80,80,1,"MDS","dim2_S_missing",20
2,77,80,1,"MDS","dim2_M_missing",1
2,75,80,0.870967741935484,"MDS","dim2_M_missing",2
2,76,80,0.9375,"MDS","dim2_M_missing",3
2,77,80,1,"MDS","dim2_M_missing",4
2,76,80,0.9375,"MDS","dim2_M_missing",5
2,77,80,1,"MDS","dim2_M_missing",6
2,77,80,1,"MDS","dim2_M_missing",7
2,77,80,1,"MDS","dim2_M_missing",8
2,77,80,0.9375,"MDS","dim2_M_missing",9
2,76,80,0.9375,"MDS","dim2_M_missing",10
2,77,80,1,"MDS","dim2_M_missing",11
2,76,80,0.928571428571429,"MDS","dim2_M_missing",12
2,77,80,1,"MDS","dim2_M_missing",13
2,76,80,0.928571428571429,"MDS","dim2_M_missing",14
2,76,80,0.928571428571429,"MDS","dim2_M_missing",15
2,77,80,1,"MDS","dim2_M_missing",16
2,76,80,0.925925925925926,"MDS","dim2_M_missing",17
2,76,80,0.928571428571429,"MDS","dim2_M_missing",18
2,77,80,1,"MDS","dim2_M_missing",19
2,77,80,0.916666666666667,"MDS","dim2_M_missing",20
2,47,80,0.571428571428571,"MDS","dim2_L_missing",1
2,47,80,0.714285714285714,"MDS","dim2_L_missing",2
