"","Holdout_MAE","NLL","log_N","log_k0","log_k_decay","log_cqq","true_dim","matrix_type","N"
"36",0.14126721048083,-14.6477918663644,1.09861228866811,3.32665778541194,-4.6478571928803,-3.77651403449545,2,"S_missing",3
"69",0.777440165740666,81.3880262356703,1.38629436111989,2.07509425488146,-3.83232676432811,-3.1025255715627,2,"S_noise1",4
"26",0.85731786474847,86.6548481077623,1.6094379124341,1.60968221757653,-4.6680225118718,-4.11086734519593,2,"S_noise_bias",5
"94",0.545894768743932,17.4050900401511,2.08610930065154,2.82084733757769,-3.58998069942949,-3.35965978795117,2,"M_missing",8
"29",0.9213203465194,50.1910314249379,1.94591014905531,2.3607310342354,-3.1603136553179,-4.00255363465845,2,"M_noise1",7
"99",0.949478373727077,27.9021791364505,2.16077603480701,1.63331576329012,-4.16786077970904,-3.62777800116,2,"M_noise_bias",9
"15",2.73024590803714,36.3675474419763,1.09861228866811,1.63653268457404,-5.54313267612075,-4.59169705897563,2,"L_missing",3
"66",1.9652300609609,32.4292279037511,1.09861228866811,2.13595562865634,-4.28501076058247,-3.15438633376559,2,"L_noise1",3
"116",2.16945808772074,19.7409967021108,1.24852996578059,1.27328782799338,-4.37173808636805,-3.41043344934441,2,"L_noise_bias",3
"67",0.796248556690576,83.0570795804715,3.04452243772342,0.946620823611532,-5.45839302336506,-3.14320567715531,5,"S_missing",21
"28",1.52333677576575,123.933156049251,3.17805383034795,2.50060197650842,-3.18528742668855,-3.99491007444632,5,"S_noise1",24
"6",1.4776113245596,118.986114794174,2.77258872223978,3.09747791816792,-3.40114150612664,-5.62759570384785,5,"S_noise_bias",16
"52",1.74744964203098,74.2712610602724,2.19722457733622,3.13798006712501,-3.15133192571167,-3.43107970133417,5,"M_missing",9
"661",2.15340483283556,81.8251694109894,3.25809653802148,3.02614951361639,-5.6505914902135,-3.16397555210275,5,"M_noise1",26
"281",2.01575473729142,76.7554083401719,2.70805020110221,2.45689398545818,-3.63724298181058,-4.04337350744405,5,"M_noise_bias",15
"37",2.6579490823859,34.2787624902577,1.38629436111989,1.86354064246158,-3.73948299999286,-3.75225951267691,5,"L_missing",4
"49",2.35228764865054,33.7685044314637,1.38629436111989,2.42982600998975,-3.00806121178797,-3.43071228919889,5,"L_noise1",4
"89",2.42871093466034,20.6440625407576,1.43746250829016,2.74220717047934,-3.9215301177168,-3.4314828108926,5,"L_noise_bias",4
"71",1.33183394987535,110.756570930382,3.17805383034795,1.16591448708726,-5.73367243997127,-3.09592432639527,10,"S_missing",24
"76",2.0328515211884,139.656535106556,3.2188758248682,1.77282273688577,-4.0041998054415,-3.02632651234761,10,"S_noise1",25
"53",2.09543041320495,140.661311775813,2.56494935746154,1.59834295661659,-4.36874773023561,-3.40261671178629,10,"S_noise_bias",13
"61",2.90519058734334,85.2101479854445,2.30258509299405,3.37630718451268,-3.28366453070102,-3.23273210924039,10,"M_missing",10
"44",2.97515672616592,90.37876879965,2.07944154167984,3.11948254362261,-3.40163464723924,-3.52831294500082,10,"M_noise1",8
"70",2.85512216516461,87.7999414440255,1.79175946922805,2.92581425951235,-3.89796507578326,-3.09843540847476,10,"M_noise_bias",6
"101",3.44423358098905,17.5790915244745,1.80344970054706,1.49043855278595,-3.85006697284046,-4.48329023505404,10,"L_missing",6
"32",3.28824635548513,34.1004176381703,1.38629436111989,2.32841005770846,-3.50965274955951,-3.89580084017026,10,"L_noise1",4
"97",3.18617050350588,19.9637683496723,1.28378131997711,1.03587966633094,-5.30350118054832,-3.15696803326951,10,"L_noise_bias",4
